source	target
Oidhche	Oíche
fágaint	fágáil
casfaí	chasfaí
ortha	orthu
ghealdaithte	ghealdaite
so	seo
chughainn	chugainn
Chím	Fheicim
tighe	tí
so	seo
leigeann	ligeann
tigh	teach
fheiscint	fheiceáil
leigfeadh	ligfeadh
fé	faoi
dheire	dheireadh
Iarrfad	Iarrfaidh mé
leigint	ligean
do'n	don
do labhair	labhair
stróinséartha	strainséartha
annso	anseo
shoin	shin
tigh	teach
fheiscint	fheiceáil
Má's	Más
fheiscint	fheiceáil
i n-éinfheacht	in éineacht
leigtear	ligtear
stróinséirí	strainséirí
ó'n	ón
gádh	gá
leat-sa	leatsa
mór-mhór	mór mór
thárluigheann	tharlaíonn
scannradh	scanradh
saoghalta	saolta
d'úirlisí	d'uirlisí
tsórd	sórt
beara	bioranna
san	sin
gleoidh	gleo
aca	acu
mbodharfaí	mbodhrófaí
dubhairt	dúirt
annso	anseo
Bead	Beidh mé
timcheall	timpeall
Nách	Nach
conus	conas
leagadh	leagan
tháinís	tháinig tú
go bráth	go brách
m'easnaidheacha	m'easnacha
shoin	shin
ana-spórt	an-spórt
fheaca	fhaca
rabhas	raibh mé
annso	anseo
bhíos	bhí mé
ó'n	ón
do thógas	thóg mé
bhúr	bhur
bpeictiúirí	bpictiúir
fheiscint	fheiceáil
Níor dhein	Ní dhearna
comhrann	comhroinn
bhfalla	mballa
thógaint	thógáil
aiste	aisti
Do chuir	Chuir
mbórd	mbord
hannla	hanla
teasbáineadh	taispeánadh
peictiúirí	pictiúir
bhfalla	mballa
teasbáintear	taispeántar
peictiúirí	pictiúir
peictiúirí	pictiúir
gáiridhe	gáire
chonnaic	chonaic
chonnaic	chonaic
léimt	léim
iongantach	iontach
peictiúir	pictiúir
síor-ghluaiseacht	síorghluaiseacht
timcheall	timpeall
eadh	ea
comhacht	cumhacht
éinne	aon duine
deintear	déantar
scur	scor
innte	inti
ó'n	ón
Deintear	Déantar
scur	scor
faid	fad
siubhal	siúl
deineadh	rinneadh
