source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
‘	‘
Lugh	Lugh
Lámh-fhada	Lámhfhada
’	’
\n	\n
\n	\n
Bhi	Bhí
árd	ard
an	an
tráthnóna	tráthnóna
ann	ann
nuair	nuair
a	a
dhúisigh	dhúisigh
Brian	Brian
as	as
a	a
\n	\n
chodladh	chodladh
,	,
agus	agus
b'é	ba é
céad	céad
duine	duine
a	a
chonnaic	chonaic
sé	sé
nuair	nuair
a	a
\n	\n
oscail	oscail
sé	sé
a	a
shúile	shúile
ná	ná
a	a
athair	athair
.	.
Bhí	Bhí
seisean	seisean
suidhte	suite
cois	cois
na	na
\n	\n
leabthan	leapa
agus	agus
é	é
ag	ag
caitheamh	caitheamh
a	a
phíopa	phíopa
ar	ar
a	a
shuaimhneas	shuaimhneas
.	.
\n	\n
D'éirigh	D'éirigh
Brian	Brian
aniar	aniar
sa	sa
leabaidh	leaba
.	.
\n	\n
\n	\n
“	“
Ó	Ó
,	,
a	a
dhaid	dhaid
,	,
”	”
ar	ar
seisean	seisean
,	,
“	“
ar	ar
scaoileadh	scaoileadh
saor	saor
sibh	sibh
?	?
”	”
\n	\n
\n	\n
“	“
Do	Do
scaoil	scaoil
an	an
tárd-Mháighistir	tárd-Mháighistir
an	an
triúr	triúr
againn	againn
\n	\n
saor	saor
chomh	chomh
luath	luath
agus	agus
a	a
chuala	chuala
sé	sé
i	i
dtaobh	dtaobh
an	an
ghníomha	ghnímh
a	a
\n	\n
dheinis-se	rinne tú
,	,
a	a
mhic	mhic
.	.
Thug	Thug
sé	sé
árd-mholadh	ardmholadh
dhuit	duit
féin	féin
agus	agus
do	do
\n	\n
Nící	Nící
,	,
agus	agus
ní	ní
hé	hé
amháin	amháin
gur	gur
scaoil	scaoil
sé	sé
saor	saor
sinn	sinn
,	,
ach	ach
ghaibh	ghabh
\n	\n
sé	sé
a	a
leath-scéal	leithscéal
linn	linn
i	i
dtaobh	dtaobh
sinn	sinn
a	a
chur	chur
sa	sa
phríosún	phríosún
i n-aon	in aon
\n	\n
chor	chor
.	.
”	”
\n	\n
\n	\n
“	“
An dtáinig	Ar tháinig
an	an
t-inneall	t-inneall
aníos	aníos
tríd	tríd
an dtalamh	an talamh
?	?
”	”
\n	\n
\n	\n
“	“
Tháinig	Tháinig
a	a
mhic	mhic
.	.
”	”
\n	\n
\n	\n
“	“
Agus	Agus
gan	gan
mise	mise
ann	ann
chun	chun
é	é
fheiscint	fheiceáil
,	,
”	”
arsa	arsa
Brian	Brian
,	,
\n	\n
agus	agus
bhí	bhí
seirbhthean	seirfean
agus	agus
díombáidh	díomá
ina	ina
ghlór	ghlór
agus	agus
é	é
ag	ag
\n	\n
rádh	rá
na	na
cainte	cainte
.	.
“	“
Cad	Cad
'na	ina
thaobh	thaobh
nár	nár
ghlaodhais	ghlaoigh tú
orm	orm
,	,
\n	\n
a	a
dhaid	dhaid
?	?
”	”
\n	\n
\n	\n
“	“
Níorbh	Níorbh
aon	aon
chabhair	chabhair
duit	duit
tú	tú
mhúscailt	mhúscailt
as	as
do	do
chodladh	chodladh
,	,
\n	\n
