source	target
Lámh-fhada	Lámhfhada
Bhi	Bhí
árd	ard
b'é	ba é
chonnaic	chonaic
suidhte	suite
leabthan	leapa
leabaidh	leaba
ghníomha	ghnímh
dheinis-se	rinne tú
árd-mholadh	ardmholadh
dhuit	duit
ghaibh	ghabh
leath-scéal	leithscéal
i n-aon	in aon
An dtáinig	Ar tháinig
an dtalamh	an talamh
fheiscint	fheiceáil
seirbhthean	seirfean
díombáidh	díomá
rádh	rá
'na	ina
ghlaodhais	ghlaoigh tú
leigeadh	ligeadh
d'éinne	d'aon duine
i n-aice	in aice
thárla	tharla
do cuireadh	cuireadh
d'fhiachaibh	d'fhiacha
Conus	Conas
d'fhiachaibh	d'fhiacha
slighte	slite
aca	acu
nách	nach
ró-dheas	ródheas
slighte	slite
ortha	orthu
d'admhuigh	d'admhaigh
comh-cheilg	comhcheilg
i gcoinnibh	i gcoinne
d'innis	d'inis
iad-san	iadsan
do cuireadh	cuireadh
gcod'	gcuid
chearnóig	chearnóg
mheadhon-lae	mheán lae
nóimit	nóiméad
connacathas	chonacthas
Chuaidh	Chuaigh
groidhe	groí
chúcha	chucu
an dtalamh	an talamh
innste	inste
do sna	do na
aca	acu
do chuireadar	chuireadar
liúgh	liú
asta	astu
fé	faoi
roimis	roimhe
droch-amhras	drochamhras
ortha	orthu
D'oscluigheadar	D'osclaíodar
deireannach	deireanach
tagaithe	tagtha
timcheall	timpeall
ortha	orthu
do dheineadar	rinneadar
príosúnaigh	príosúnach
aca	acu
liúgh	liú
Truagh	Trua
fheiscint	fheiceáil
aca	acu
nách	nach
rómpa	rompu
slighte	slite
d'á	dá
d'á	dá
dubhairt	dúirt
thuille	thuilleadh
san	sin
go dtáinig	gur tháinig
tseomra	seomra
chúcha	chucu
Thánag	Tháinig mé
bhuidheachas	bhuíochas
innsint	insint
conus	conas
shábháilis	shábháil tú
ó'n	ón
shúghadh	shú
so	seo
so	seo
árd-iongnadh	ardionadh
innis	inis
dhuit	duit
innis	inis
imtheachta	imeachta
hoidhche	hoíche
an dtráigh	an trá
rádh	rá
buidheach	buíoch
fheiscint	fheiceáil
nighe	ní
suidhe	suí
de sna	de na
casáin	cosáin
casán	cosán
tiugh	tiubh
gcearnóig	gcearnóg
chonnacadar	chonaiceadar
phuill	phoill
dhein	rinne
fútha	fúthu
chughainn	chugainn
gáiridhe	gáire
fé ndeara	faoi deara
comh-tharraing	comhtharraing
fuireann	foireann
ná raibh	nach raibh
ionnta	iontu
chorruigh	chorraigh
fáiscithe	fáiscthe
dhóibh	dóibh
Gaedhilg	Gaeilge
déanfaí	dhéanfaí
bhfuightí	bhfaightí
cionntach	ciontach
Níor dhein	Ní dhearna
breágh	breá
subháilceach	suáilceach
Deineann	Déanann
bpíonós	bpionós
n-oireamhaint	n-oiriúint
do'n	don
san	sin
annsan	ansin
gcasán	gcosán
Chím	Fheicim
'na	ina
eadh	ea
Árd	Ard
Mháighistir	Mháistir
píonós	pionós
tré	trí
mhéireanna	mhéar
éinní	aon ní
raghaidh	rachaidh
san	sin
n-a	a
marbhóchthar	marófar
de'n	den
bídh	bia
Níor dhein	Ní dhearna
ghuailne	ghuaillí
bhfuighidh	bhfaighidh
biadh	bia
suidhte	suite
san	sa
rómpa	rompu
chonnacadar	chonaiceadar
do labhair	labhair
fheiscint	fheiceáil
nách	nach
hoidhche	hoíche
Do labhair	Labhair
fearaibh	fir
annsan	ansin
ghaibh	ghabh
leath-scéal	leithscéal
dubhairt	dúirt
aca	acu
nidh	ní
Do labhair	Labhair
tar cheann	thar ceann
dubhairt	dúirt
ná raibh	nach raibh
uatha	uathu
aca	acu
imtheacht	imeacht
fuaid	fud
stuidéar	staidéar
dheanamh	dhéanamh
aca	acu
dheinidís	dhéanfaidís
Dubhairt	Dúirt
san	sin
aca	acu
do réir	de réir
ar fuaid	ar fud
táimíd	táimid
teanntuighthe	teanntaithe
ages	ag
leómhann	leomhann
éinne	aon duine
rádh	rá
Bhíos	Bhí mé
mhachtnaimh	mhachnaimh
ortha	orthu
bhíos	bhí mé
chuimhnigheas	chuimhnigh mé
deire	deireadh
buidheach	buíoch
Do tharraing	Tharraing
D'infhiúch	D'iniúch
Déanfad	Déanfaidh mé
dhom	dom
Gheobhair	Gheobhaidh tú
nidh	ní
d'á	dá
de'n	den
Árd-Chomhairle	Ardchomhairle
chúcha	chucu
scoth-aosta	scothaosta
baitheas	baithis
árd	ard
tÁrd	tArd
Mháighistir	Mháistir
so	seo
dein	déan
D'imthigh	D'imigh
aca	acu
iongnadh	ionadh
gcroidhe	gcroí
Nách	Nach
t-iongnadh	t-ionadh
ná	nach
dubhairt	ndúirt
nidh	ní
leigint	ligean
nidh	ní
