source	target
tré	trí
tighe	tí
peictiúirí	pictiúir
do chuir	chuir
dhoircheacht	dhorchacht
eadh	ea
chíonn	fheiceann
do thóg	thóg
scéidh	sceith
timcheall	timpeall
úrláir	urláir
fé	faoi
aca	acu
tighe	tí
an nduine	an duine
chonnaic	chonaic
réilthíní	réiltíní
spréacharnaigh	spréacharnach
ós a chionn	os a chionn
i n-áirde	in airde
san	sin
níor dhein	ní dhearna
iongnadh	ionadh
nidh	ní
nidh	ní
dhó	dó
annso	anseo
ortha	orthu
so	seo
Cím	Feicim
so	seo
timcheall	timpeall
gcomnuidhe	gcónaí
luighead	laghad
réalt	réalta
do chuir	chuir
dírightear	dírítear
réalt	réalta
coinnigheann	coinníonn
so	seo
dírighthe	dírithe
réalt	réalta
san	sin
do réir	de réir
san	sin
nóimeat	nóiméad
gcomhnuidhe	gcónaí
tighe	tí
Chíonn	bhFeiceann
tighe	tí
Freagrann	Freagraíonn
timcheall	timpeall
ó'n	ón
i n-aon	in aon
an nduine	an duine
ró-chompórdach	róchompordach
chluig	chloig
fé	faoi
timcheall	timpeall
duadh	dua
nidh	ní
feicithe	feicthe
Chífir	Feicfidh tú
san	sin
so	seo
Do dhruid	Dhruid
fé	faoi
shocruigh	shocraigh
thighe	thí
dthí	dtí
shocruigh	shocraigh
clos	cloisteáil
Do chuir	Chuir
do dhruid	dhruid
Seadh	Sea
dírighthe	dírithe
chéadna	chéanna
dhein	rinne
do chuir	chuir
liúgh	liú
hiongnadh	hionadh
fiadh	fia
iongantaighe	iontaí
d'á	dá
bhfeaca	bhfaca
im'	i mo
shúilibh	shúile
de'n	den
tseastán	seastán
do chuir	chuir
annsúd	ansiúd
ós comhair	os comhair
d'á	dá
bhfeaca	bhfaca
liath-ghorm	liathghorm
airgeadtha	airgeadaithe
lonnradh	lonradh
do cheap	a cheap
ná feaca	nach bhfaca
nidh	ní
háluinn	hálainn
Do labhair	Labhair
uirthe	uirthi
shocruigh	shocraigh
Dhein	Rinne
dubhradh	dúradh
fheaca	fhaca
áluinn	álainn
airgeadtha	airgeadaithe
dírighthe	dírithe
uirthe	uirthi
dírighthe	dírithe
áird	aird
cheanann	cheannann
chéadna	chéanna
rabhais	raibh tú
uirthe	uirthi
nóimeat	nóiméad
shoin	shin
Leig	Lig
fheiscint	fheiceáil
leig	lig
iongantais	iontais
áilne	áille
annsan	ansin
de'n	den
chím	feicim
áluinn	álainn
airgeadtha	airgeadaithe
so	seo
ana-shult	an-sult
iongnadh	ionadh
coitchianta	coitianta
eadh	ea
so	seo
dhíom	díom
so	seo
bhfuaireas	fuair mé
d'á	dá
dhuadh	dhua
do leag	leag
grádhmhar	grámhar
leinbh	linbh
ionmhuin	ionúin
ná feaca	nach bhfaca
leacain	leaca
rádh	rá
shiubhail	shiúil
do rug	rug
annsan	ansin
is	agus
ar fuaid	ar fud
reann	rinn
nochtuighthe	nochtuithe
shúilibh	shúile
so	seo
chuimhnigheas	chuimhnigh mé
oireamhnach	oiriúnach
seana-dhéithe	seandéithe
fhurmhór	fhormhór
sheana-dhéithe	sheandéithe
