source	target
\n	\n
Ó	Ó
hÉilighthe	hÉilithe
Teóranta	Teoranta
,	,
Áth	Áth
Cliath	Cliath
.	.
\n	\n
\n	\n
le	le
ceannach	ceannach
díreach	díreach
ó	ó
\n	\n
\n	\n
OIFIG	OIFIG
DÍOLTA	DÍOLTA
FOILLSEAChÁIN	Foilseacháin
RIALTAIS	RIALTAIS
,	,
3	3
—	—
4	4
,	,
SRÁID	SRÁID
AN	AN
ChOLÁISTE	Choláiste
.	.
\n	\n
BAILE	BAILE
ÁThA	Átha
CLIATh	Cliath
.	.
\n	\n
\n	\n
no	nó
tré	trí
aon	aon
díoltóir	díoltóir
leabhar	leabhar
.	.
\n	\n
\n	\n
#	#
MANANNÁN	MANANNÁN
\n	\n
\n	\n
Máiréad	Máiréad
Ní	Ní
Ghráda	Ghráda
\n	\n
\n	\n
OIFIG	OIFIG
AN	AN
tSOLÁThAIR	tSoláthair
\n	\n
\n	\n
Baile	Baile
Átha	Átha
Cliath	Cliath
\n	\n
\n	\n
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
Foillsigheadh	Foilsíodh
de'n	den
chéad	chéad
uair	uair
,	,
1940	1940
.	.
\n	\n
\n	\n
___MANANPH_00002___	___MANANPH_00002___
\n	\n
\n	\n
Toirbhirim	Toirbhrím
an	an
leabhar	leabhar
so	seo
do	do
BhRIAN	BhRIAN
\n	\n
mar	mar
go dtug	gur thug
sé	sé
cabhair	cabhair
agus	agus
comhairle	comhairle
\n	\n
dhom	dom
agus	agus
mé	mé
á	á
scríobhadh	scríobh
.	.
\n	\n
\n	\n
M	M
.	.
Ní	Ní
Gh	Gh
.	.
\n	\n
\n	\n
Mí	Mí
na	na
Nodlag	Nollag
,	,
1939	1939
.	.
\n	\n
\n	\n
#	#
CLÁR	CLÁR
AN	AN
LEABhAIR	Leabhair
\n	\n
\n	\n
|	|
|	|
Leathanach	Leathanach
.	.
|	|
\n	\n
|	|
:	:
-	-
-	-
-	-
|	|
-	-
-	-
-	-
:|	:|
\n	\n
|	|
Pláinéid	Pláinéid
ná Feaca	nach bhFaca
Súil	Súil
Duine	Duine
Riamh	Riamh
|	|
9	9
|	|
\n	\n
|	|
An	An
Radharc	Radharc
tríd	tríd
an	an
gCiandracán	gCiandracán
|	|
18	18
|	|
\n	\n
|	|
An	An
Turas	Turas
go	go
Manannán	Manannán
|	|
31	31
|	|
\n	\n
|	|
Manannán	Manannán
|	|
44	44
|	|
\n	\n
|	|
Muintear	Muintir
Mhanannáin	Mhanannáin
|	|
53	53
|	|
\n	\n
|	|
Na	Na
‘	‘
Cráidhmí	Cráidhmí
’	’
|	|
68	68
|	|
\n	\n
|	|
An	An
tárd-Mháighistir	tárd-Mháighistir
|	|
76	76
|	|
\n	\n
|	|
An	An
Príosún	Príosún
|	|
87	87
|	|
\n	\n
|	|
Oidhche	Oíche
sa	sa
Choill	Choill
|	|
98	98
|	|
\n	\n
|	|
An	An
tInneall	tInneall
|	|
110	110
|	|
\n	\n
|	|
Oidhche	Oíche
thar	thar
Oidhcheanta	Oícheanta
|	|
124	124
|	|
\n	\n
|	|
‘	‘
Lugh	Lugh
Lámh-fhada	Lámhfhada
’	’
|	|
137	137
|	|
\n	\n
|	|
An	An
Troid	Troid
leis	leis
na	na
‘	‘
Cráidhmí	Cráidhmí
’	’
|	|
151	151
|	|
\n	\n
|	|
Díoghaltas	Díoltas
|	|
166	166
|	|
\n	\n
|	|
An	An
tÉalódh	tÉalú
|	|
178	178
|	|
\n	\n
