source	target
Muintear	Muintir
Óigfhear	Ógfhear
dathamhail	dathúil
feadghail	feadaíl
fé	faoi
óigfhear	ógfhear
saoghalta	saolta
chonnaic	chonaic
stróinséir	strainséir
roimis	roimhe
do labhair	labhair
theangain	theanga
Do dhruid	Dhruid
do dhein	rinne
comharthaí	comhartha
fé	faoi
dhein	rinne
leanbhaí	leanaí
n-eiteallán	n-eitleán
t-óigfhear	t-ógfhear
leanbhaí	leanaí
thimcheall	thimpeall
asta	astu
dhein	rinne
gháiridhe	gháire
annsan	ansin
labhradar	labhraíodar
dteangain	dteanga
bhfuilid	bhfuil siad
rádh	rá
cleasuidhthe	cleasaithe
geilt	gealt
t-óigfhear	t-ógfhear
thar n-ais	ar ais
gurab	gurb
so	seo
sul a	sula
Fanaimís	Fanaimis
eadh	ea
baoghal	baol
orm-sa	ormsa
orm-sa	ormsa
ampladh	ampla
bídh	bia
éinne	aon duine
Truagh	Trua
chuimhnígheamar	chuimhníomar
bhídh	bhia
ó'n	ón
eiteallán	eitleán
t-óigfhear	t-ógfhear
chúcha	chucu
i n-éinfheacht	in éineacht
aca	acu
siubhal	siúl
tapaidh	tapa
Gárda	Garda
Síothchána	Síochána
nách	nach
uatha	uathu
do labhair	labhair
Do labhair	Labhair
fé	faoi
do dhein	rinne
comharthaí	comhartha
le n-a	lena
thuigimíd	thuigimid
D'árduigh	D'ardaigh
ortha	orthu
rádh	rá
comhgaraighe	cóngaraí
dhó	dó
raghaidh	rachaidh
leagadh	leagan
thánag	tháinig mé
do'n	don
ádhmharaigh	ámharaigh
Téigheadh	Téadh
agaibh-se	agaibhse
mbeárnain	mbearna
bhaoghail	bhaoil
má's	más
Fanfad-sa	Fanfaidh mise
annso	anseo
shuidh	shuigh
ortha	orthu
máighistreamhail	máistriúil
húghdarásach	húdarásach
Dhein	Rinne
le n-a	lena
ad	i do
dhó	dó
ná féadfaidís	nach bhféadfaidís
thairis	thar
t-óigfhear	t-ógfhear
shiubhail	shiúil
go dtáinig	gur tháinig
shiubhail	shiúil
thar n-ais	ar ais
bhfeacais	bhfeac tú
dtéigheann	dtéann
muintear	muintir
comhacht	cumhacht
t-óigfhear	t-ógfhear
thar n-ais	ar ais
chúcha	chucu
gáiridhe	gáire
ortha	orthu
leanamhaint	leanúint
Leanaimís	Leanaimis
i n-ainm	in ainm
Táimíd	Táimid
bascaithe	basctha
brúighte	brúite
leagadh	leagan
shiubhail	shiúil
aicillidhe	aclaí
óigfhir	ógfhir
aca	acu
mí-thapa	míthapa
d'éirghe	d'éirí
d'éinne	d'aon duine
aca	acu
iongantach	iontach
Feicimís	Feicimis
dheanfaidh	dhéanfaidh
so	seo
chughainn	chugainn
Ghárda	Gharda
Tabair	Tabhair
dhom	dom
Ní	Níor
do dhein	rinne
comharthaí	comhartha
leanamhaint	leanúint
t-óigfhear	t-ógfhear
fágaint	fágáil
aca	acu
ó'n	ón
imtheacht	imeacht
cuideachtamhail	cuideachtúil
eadh	ea
so	seo
threoruidhe	threoraí
siubhal	siúl
rómpa	rompu
de sna	de na
leanbhaí	leanaí
so	seo
aca	acu
mí-chéadthach	míchéadfach
leanbhaí	leanaí
aca	acu
shíothcháin	shíocháin
eatortha	eatarthu
Do dhruid	Dhruid
bhfuirm	bhfoirm
ubhaill	úill
t-ubhall	t-úll
ubhall	úll
d'á	dá
bhfeaca	bhfaca
san	sin
id'	i do
dubhairt	dúirt
Níor dhein	Ní dhearna
t-ubhall	t-úll
tógaint	tógáil
dhe	de
tuiscionach	tuisceanach
om'	ó mo
de'n	den
ubhall	úll
e	é
ós comhair	os comhair
tige	tí
chumhartha	chumhra
an dtaobh	an taobh
dhe	de
Má's	Más
árus	áras
nGárdaí	nGardaí
Síothchána	Síochána
fheiscint	fheiceáil
Do bhuail	Bhuail
leanbhaí	leanaí
gabhadar	ghabhadar
tré	trí
rabh	raibh
tiugh	tiubh
shuidhe	shuí
meadhon-aosta	meánaosta
fé	faoi
einne	aon duine
Do labhair	Labhair
theangain	theanga
chúcha	chucu
dein	déan
do chuir	chuir
chuislinn	chuisle
ad	i do
Níor dhein	Ní dhearna
coigcríochach	coigríochach
chrothadh	chroitheadh
Teasbáinfead-sa	Taispeánfaidh mise
do chuir	chuir
tarraing	tarraingt
thugas	thug mé
iadh-ar	iúr
eadh	ea
ins gach	i ngach
D'umhluigh	D'umhlaigh
de'n	den
tseana	seana
peictiúir	pictiúir
D'infhiúch	D'iniúch
peictiúir	pictiúir
ortha	orthu
fé	faoi
ad	i do
cioca	cé acu
aca	acu
pheictiúir	phictiúir
einne	aon duine
aca-san	acusan
ghuailne	ghuaillí
teipithe	teipthe
de'n	den
thar n-ais	ar ais
dubhairt	dúirt
do chuir	chuir
aca	acu
fé ndeara	faoi deara
Sean-duine	Seanduine
shuil	shúil
aibeamhla	aibí
Éadaighe	Éadaí
maisighthe	maisithe
hórnáidí	hornáidí
D'umhluigh	D'umhlaigh
dhóibh	dóibh
do labhair	labhair
theangain	theanga
léighinn	léinn
Dia's	Dia is
dhuit	duit
Dia's	Dia is
dhuit	duit
Pádruig	Pádraig
Níor dhein	Ní dhearna
sean-duine	seanduine
subháilceach	suáilceach
Gaedhilg	Gaeilge
Dhein	Rinne
dhein	rinne
sean-duine	seanduine
nGaedhilg	nGaeilge
Labhraimís	Labhraímis
ins gach	i ngach
teangain	teanga
d'á	dá
aca	acu
do dhein	a rinne
Labhradar	Labhraíodar
Frainncis	Fraincis
de'n	den
do bhain	bhain
asta	astu
ná raibh	nach raibh
sean-duine	seanduine
Triailimís	Triailimis
teangthacha	teangacha
Bhfuil	bhFuil
léiginn	liginn
dearmhadtha	dearmadta
im'	i mo
baoghalach	baolach
déanfad	déanfaidh mé
Labhradar	Labhraíodar
aca	acu
Éirghimís	Éirím tú
Bhfuil	bhFuil
éinne	aon duine
magamhail	magúil
Bhfuil	bhFuil
éinne	aon duine
theangthacha	theangacha
Bhfuil	bhFuil
éinne	aon duine
éirghe	éirí
Má's	Más
léighinn	léinn
céadna	céanna
léighinn	léinn
oraibh-se	oraibhse
orm-sa	ormsa
d'á	dá
teangthacha	teangacha
léigheanta	léannta
do thuig	thuig
dhein	rinne
le n-a	lena
fé	faoi
liúgh	liú
dhúinn	dúinn
sean-duine	seanduine
ortha	orthu
i n-éinfheacht	in éineacht
t-ubhall	t-úll
shuidhe	shuí
bhfaithche	bhfaiche
leasmuigh	lasmuigh
de'n	den
chonnaic	chonaic
gáiridhe	gáire
Seadh	Sea
tánn	tá
an dtaobh	an taobh
de'n	den
sean-duine	seanduine
suidhte	suite
búird	boird
bídh	bia
ós a gcomhair	os a gcomhair
blaisidh	blaiseadh
biadh	bia
san	sin
luth	lúth
ortha	orthu
láithreach	láthair
má's	más
fútha	fúthu
adubhrais	a dúirt tú
raghad	rachaidh mé
mbiadh	mbia
Biadh	Bia
bhfuirm	bhfoirm
glasairí	glasadóirí
ós a gcomhair	os a gcomhair
san	sin
mísle	milse
amhthach	áfach
fíor-uisce	fíoruisce
reamhar	ramhar
uirthe	uirthi
Do thaithn	Thaitin
san	sin
ró-mhilis	rómhilis
fearaibh	fir
té	tae
aca	acu
so	seo
de'n	den
digh	deoch
de'n	den
bhiadh	bhia
caithte	caite
aca	acu
do tharraing	a tharraing
fearra	fearr
dhuit	duit
deineadh	rinneadh
an nduine	an duine
thárla	tharla
do'n	don
eadh	ea
chonnaic	chonaic
mháighistir	mháistir
se	sé
tré	trí
theine	thine
dhein	rinne
deigh-bhéasach	dea-bhéasach
eadh	ea
muintear	muintir
dícéillidhe	díchéillí
léimt	léim
ma	má
hiongnadh	hionadh
iongnadh	ionadh
sean-duine	seanduine
leig	lig
nidh	ní
dhéanfaimíd	dhéanfaimid
fhoghluim	fhoghlaim
i n-ár	inár
Conus	Conas
Conus	Conas
Múinfead-sa	Múinfidh mise
Gaedhilg	Gaeilge
do'n	don
so	seo
dubhairt	dúirt
dubhairt	dúirt
éinne	aon duine
do bhuail	bhuail
Annsan	Ansin
dighe	dí
éile	eile
dubhairt	dúirt
ró-chruaidh	róchrua
noigh	ndóigh
nidh	ní
rádh	rá
ainme	ainm
rádh	rá
sean-duine	seanduine
ortha	orthu
breág	breá
subháilceach	suáilceach
fé	faoi
mháighistir	mháistir
foghluim	foghlaim
tiugh	tiubh
ortha	orthu
theasbáin	thaispeáin
iongantach	iontach
ós cionn	os cionn
tslighe	tslí
barraí	barra
de'n	den
nách	nach
Le n-a	Lena
cualathas	chualathas
ó'n	ón
fé	faoi
dubhairt	dúirt
súnc	sonc
d'á	dá
uilinn	uillinn
láimh	lámh
ós cionn	os cionn
dhein	rinne
sean-duine	seanduine
dhein	rinne
do labhair	labhair
céadna	céanna
dubhairt	dúirt
ós cionn	os cionn
dighe	dí
cualathas	chualathas
dubhairt	dúirt
t-iongantas	t-iontas
d'á	dá
bhfeaca	bhfaca
nidh	ní
aca	acu
rádh	rá
nidh	ní
aca	acu
n'a	ina
méireanna	méara
chorruighe	chorraí
shlighe	shlí
ós a gcionn	os a gcionn
nidh	ní
aca	acu
eadh	ea
Do réir	De réir
do réir	de réir
slighe	slí
eadh	ea
éagsamhla	éagsúla
Chonnac	Chonaic
shoin	shin
úirlis	uirlis
uirthe	uirthi
buaidhte	buaite
aca	acu
so	seo
Do chuir	Chuir
liúgh	liú
Dheineas	Rinne mé
