source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
An	An
tÁrd-Mháighistir	tÁrd-Mháighistir
\n	\n
\n	\n
Do	Do
stadadh	stadadh
de'n	den
ruaig	ruaig
go	go
hobann	tobann
.	.
Féachaint	Féachaint
d'á	dá
\n	\n
dtug	dtug
Brian	Brian
thar	thar
a	a
ghualainn	ghualainn
chonnaic	chonaic
sé	sé
go	go
raibh	raibh
\n	\n
na	na
hárrachtaigh	harrachtaí
ina	ina
gcoilg-sheasamh	gcolgsheasamh
gan	gan
cor	cor
asta	astu
.	.
Do	Do
\n	\n
stad	stad
sé	sé
féin	féin
chun	chun
a	a
anál	anáil
a	a
tharraing	tharraingt
agus	agus
d'fhéach	d'fhéach
ortha	orthu
.	.
\n	\n
Bhí	Bhí
na	na
céadtha	céadta
aca	acu
ann	ann
,	,
iad	iad
má	má
seasamh	seasamh
i n-aon	in aon
líne	líne
amháin	amháin
\n	\n
agus	agus
cheann	cheann
agus	agus
muineál	muineál
gach	gach
árrachtaigh	arrachtaigh
acha	acu
ar	ar
síneadh	síneadh
,	,
\n	\n
fé	faoi
mar	mar
a	a
bheidís	bheidís
ag	ag
déanamh	déanamh
a	a
ndíchill	ndíchill
ar	ar
dhul	dhul
ar	ar
aghaidh	aghaidh
\n	\n
agus	agus
é	é
ag	ag
teip	teip
ortha	orthu
.	.
Shíneadh	Shíneadh
ceann	ceann
aca	acu
a	a
-	-
chosa	chosa
caola	caola
\n	\n
lúbacha	lúbacha
ó	ó
am	am
go	go
ham	ham
,	,
ach	ach
chrapadh	chrapadh
sé	sé
arís	arís
go	go
tapaidh	tapa
iad	iad
,	,
\n	\n
agus	agus
anois	anois
is	is
arís	arís
chuireadh	chuireadh
cheann	cheann
aca	acu
búirth	búir
as	as
mar	mar
A	A
\n	\n
chuirfeadh	chuirfeadh
tarbh	tarbh
buile	buile
.	.
\n	\n
\n	\n
Buaileadh	Buaileadh
isteach	isteach
i n-aigne	in aigne
Bhriain	Bhriain
go	go
rabhadar	rabhadar
tagaithe	tagtha
\n	\n
chun	chun
na	na
háite	háite
mar	mar
ar	ar
baineadh	baineadh
an	an
leagadh	leagan
as	as
féin	féin
an	an
lá	lá
a	a
\n	\n
táinig	tháinig
sé	sé
agus	agus
ná féadfaidís	nach bhféadfaidís
dul	dul
thairis	thairis
sin	sin
.	.
Annsan	Ansin
\n	\n
is	is
eadh	ea
a	a
thuig	thuig
sé	sé
an	an
fáth	fáth
go	go
raibh	raibh
an	an
chosaint	chosaint
sin	sin
curtha	curtha
\n	\n
timcheall	timpeall
na	na
cathrach	cathrach
ag	ag
muintir	muintir
Mhanannáin	Mhanannáin
.	.
\n	\n
\n	\n
Ní	Ní
ró-fhada	rófhada
a	a
dh'fhan	d'fhan
sé	sé
annsúd	ansiúd
ag	ag
féachaint	féachaint
ortha	orthu
.	.
\n	\n
Do chuir	Chuir
sé	sé
ins na	sna
cosaibh	cosa
arís	arís
agus	agus
ba	ba
ghairid	ghairid
an	an
mhoill	mhoill
\n	\n
air	air
an	an
chathair	chathair
a	a
bhaint	bhaint
amach	amach
.	.
Ar	Ar
