source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
An	An
tÉalódh	tÉalú
\n	\n
\n	\n
D'fhéach	D'fhéach
an	an
triúr	triúr
ar	ar
a	a
chéile	chéile
,	,
agus	agus
ba	ba
léir	léir
dóibh	dóibh
an	an
\n	\n
smaoineamh	smaoineamh
céadna	céanna
i n-aigne	in aigne
gach	gach
duine	duine
aca	acu
.	.
\n	\n
“	“
Caithfimíd	Caithfimid
éalódh	éalú
uaidh	uaidh
,	,
”	”
a	a
dubhairt	dúirt
a	a
súile	súile
le n-a	lena
chéile	chéile
.	.
\n	\n
Ní	Ní
dubhairt	dúirt
a	a
mbéal	mbéal
aon	aon
fhocal	fhocal
,	,
ámhthach	áfach
.	.
\n	\n
\n	\n
Ach	Ach
conus	conas
éalódh	éalú
.	.
B'shin	Ba sin
í	í
an	an
cheist	cheist
.	.
Bhí	Bhí
fhios	fhios
aca	acu
an	an
\n	\n
t-eiteallán	t-eitleán
a	a
bheith	bheith
san	san
árus	áras
mhór	mhór
ar	ar
chúl	chúl
na	na
saotharlainne	saotharlainne
,	,
\n	\n
ach	ach
ní	ní
baoghal	baol
go	go
leigfí	ligfí
dhóibh	dóibh
dul	dul
i n-aice	in aice
an	an
áruis	árais
sin	sin
.	.
\n	\n
Agus	Agus
dá	dá
leigtí	ligtí
féin	féin
,	,
bhí	bhí
fhios	fhios
aca	acu
nárbh	nárbh
aon	aon
chabhair	chabhair
\n	\n
dóibh	dóibh
san	san
.	.
Ní	Ní
éirigheann	éiríonn
eiteallán	eitleán
de'n	den
talamh	talamh
lom	lom
\n	\n
díreach	díreach
,	,
fé	faoi
mar	mar
a	a
éirigheann	éiríonn
éan	éan
.	.
Ní	Ní
mór	mór
dó	dó
gearr-chúrsa	gearrchúrsa
\n	\n
a	a
dhéanamh	dhéanamh
ar	ar
an dtalamh	an talamh
réidh	réidh
sul ar	sular
féidir	féidir
dó	dó
éirghe	éirí
ós cionn	os cionn
\n	\n
talmhan	talún
.	.
Agus	Agus
d'aimhdheoin	d'ainneoin
a	a
éadtruime	éadroime
a	a
bhí	bhí
gach	gach
\n	\n
aon	aon
nidh	ní
ar	ar
Mhanannán	Mhanannán
,	,
bhí	bhí
fhios	fhios
aca	acu
go	go
raghadh	rachadh
d'á	dá
ndícheall	ndícheall
\n	\n
an	an
t-eiteallán	t-eitleán
a	a
iomchar	iompar
ar	ar
a	a
nguailne	nguaillí
chomh	chomh
fada	fada
leis	leis
na	na
\n	\n
páirceanna	páirceanna
fairsinge	fairsinge
ar	ar
an dtaobh	an taobh
amuigh	amuigh
de'n	den
chathair	chathair
.	.
\n	\n
Thuigeadar	Thuigeadar
gurab	gur
é	é
a	a
leas	leas
gan	gan
aon	aon
phioc	phioc
d'á	dá
n-aigne	n-aigne
a	a
\n	\n
nochtadh	nochtadh
,	,
agus	agus
a	a
leigint	ligean
ortha	orthu
go	go
rabhadar	rabhadar
ag	ag
géilleadh	géilleadh
\n	\n
do	do
thoil	thoil
an	an
Árd-Mháighistir	Árd-Mháighistir
.	.
\n	\n
\n	\n
“	“
Maran	Mura
áil	áil
leis	leis
