source	target
tÉalódh	tÉalú
céadna	céanna
i n-aigne	in aigne
aca	acu
Caithfimíd	Caithfimid
éalódh	éalú
dubhairt	dúirt
le n-a	lena
dubhairt	dúirt
ámhthach	áfach
conus	conas
éalódh	éalú
B'shin	Ba sin
aca	acu
t-eiteallán	t-eitleán
árus	áras
baoghal	baol
leigfí	ligfí
dhóibh	dóibh
i n-aice	in aice
áruis	árais
leigtí	ligtí
aca	acu
éirigheann	éiríonn
eiteallán	eitleán
de'n	den
fé	faoi
éirigheann	éiríonn
gearr-chúrsa	gearrchúrsa
an dtalamh	an talamh
sul ar	sular
éirghe	éirí
ós cionn	os cionn
talmhan	talún
d'aimhdheoin	d'ainneoin
éadtruime	éadroime
nidh	ní
aca	acu
raghadh	rachadh
d'á	dá
t-eiteallán	t-eitleán
iomchar	iompar
nguailne	nguaillí
an dtaobh	an taobh
de'n	den
gurab	gur
d'á	dá
leigint	ligean
ortha	orthu
Maran	Mura
leigint	ligean
thógaint	thógáil
ortha	orthu
i gcoinnibh	i gcoinne
bhúr	bhur
neamh-bhrí	neamhbhrí
san	sin
shlighe	shlí
ná féadfadh	nach bhféadfadh
choidhche	choíche
do'n	don
i gcoinnibh	i gcoinne
dhlighe	dhlí
Dob fhearr	B'fhearr
do'n	don
ná tiocfadh	nach dtiocfadh
saoghal	saol
sibh-se	sibhse
dheineann	dhéanann
baoghal	baol
ionnas go	ionas go
fé n-a	faoina
an dtaobh	an taobh
de sna	de na
cnuic	cnoic
an dtír	an tír
san	sin
dhom	dom
órdú	ordú
indé	inné
Caithfead	Caithfidh mé
sul ar	sular
nidh	ní
breágh	breá
leigeadar	ligeadar
nidh	ní
ortha	orthu
ortha	orthu
ná raibh	nach raibh
aca	acu
ortha	orthu
thar n-ais	ar ais
tsaotharlainn	tsaotharlann
annsúd	ansiúd
rómpa	rompu
órdú	ordú
chéadna	chéanna
e	é
indé	inné
roimis	roimhe
annso	anseo
Chífimíd	bhFeicfimid
id'	i do
fé n-a	faoina
adubhairt	a dúirt
ní chuala	níor chuala
thar n-ais	ar ais
tighe	tí
indé	inné
dheiseochaidh	dheiseoidh
Raghad-sa	Rachaidh mise
i n-éinfheacht	in éineacht
téire	téigh
annso	anseo
agat-sa	agatsa
go bráth	go brách
i n-áirde	in airde
Bídhidh	Bígí
shiubhal	shiúl
ragham	rachaimid
bhfeicir	bhfeiceann tú
bhfeicir	bhfeiceann tú
Níor dhein	Ní dhearna
tighe	tí
t-eiteallán	t-eitleán
de sna	de na
tighe	tí
ghraidhn	ghraidhin
Lámh-fhada	Lámhfhada
i n-am	in am
do rug	rug
eiteallán	eitleán
d'árduigh	d'ardaigh
ná beadh	nach mbeadh
leinbh	linbh
annsan	ansin
siubhal	siúl
roimis	roimhe
ins gach	i ngach
d'á	dá
chonnaic	chonaic
ndiaid	ndiaidh
liúirighe	liúirí
ndeaghadar	ndeachadar
dheárnadar	dhearnadar
ó'n	ón
háluinn	hálainn
do leag	leag
t-eiteallán	t-eitleán
an dtalamh	an talamh
Thúirling	Thuirling
chruinnigheadar	chruinníodar
thimcheall	thimpeall
Mara	Mura
bídh	bia
deire	deireadh
nidh	ní
órdú	ordú
eiteallán	eitleán
infhiúchadh	iniúchadh
atáimíd	atáimid
nidh	ní
beimíd	beimid
fé	faoi
gheallas	gheall mé
bheimís	bheimis
annso	anseo
i nÉirinn	in Éirinn
stróinséir	strainséir
ná beadh	nach mbeadh
aca	acu
dhó	dó
éalódh	éalú
díoghaltas	díoltas
fé	faoi
dhein	rinne
le n-a	lena
rádh	rá
baoghal	baol
d'á	dá
éinne	aon duine
t-eiteallán	t-eitleán
bídh	bia
annso	anseo
Bhfuil	bhFuil
míosa	míonna
tábhachtaighe	tábhachtaí
nidh	ní
Bímís	Bímis
má's	más
eadh	ea
i n-ainm	in ainm
dhéanfaimíd	dhéanfaimid
Fágfaimíd	Fágfaimid
annso	anseo
gáiridhe	gáire
aca	acu
eiteallán	eitleán
talmhan	talún
nóimeat	nóiméad
annsan	ansin
t-eiteallán	t-eitleán
héadtrom	héadrom
fáinleóig	fáinleog
gabhtha	gafa
aca	acu
fholuigheann	fholaíonn
scuir	scoir
annsan	ansin
leig	lig
do'n	don
eiteallán	eitleán
roimis	roimhe
Seadh	Sea
deirir	deir tú
Bhfuil	bhFuil
i n-éinfheacht	in éineacht
dúthchas	dúchas
ó n-a	óna
sinnsir	sinsir
roimis	roimhe
se	sé
i n-éinfheacht	in éineacht
leat-sa	leatsa
ó'n	ón
so	seo
chughainn	chugainn
Nách	Nach
agam-sa	agamsa
do sna	do na
dá mhéid	dá mhéad
theasbáinfead-sa	thaispeánfaidh mise
dhóibh	dóibh
do tharraing	tharraing
Do bhuail	Bhuail
lám	lámh
Comh	Chomh
earball	eireaball
d'fhágas	d'fhág mé
Chuarduigh	Chuardaigh
chuarduigh	chuardaigh
i n-aon	in aon
aca	acu
i nÉirinn	in Éirinn
ins na	sna
so-fheicse	sofheicthe
do-fheicse	dofheicthe
ríogh	rí
d'á	á
bhfágaint	bhfágáil
im'	i mo
croidhe-bhriste	croíbhriste
agam-sa	agamsa
ó'n	ón
Tabharfad	Tabharfaidh mé
dhuit	duit
bhainfimíd	bhainfimid
Deinimís	Déanaimis
comhthrom	cothrom
dheineadar	rinneadar
san	sin
chonnaic	chonaic
hoibridhthe	hoibrithe
aer-phort	aerfort
t-eiteallán	t-eitleán
chúcha	chucu
túirling	tuirlingt
aca	acu
chúcha	chucu
thar n-ais	ar ais
imshníomh	imní
ná	nach
duain	duan
uaibh	ó
shoin	shin
dheineadar	rinneadar
go bráth	go brách
nách	nach
Truagh	Trua
