source	target
Catair	Cat tú
áluinn	álainn
eadh	ea
maisighthe	maisithe
tuir	tor
ioldathacha	ildathacha
d'fhíor-uisce	d'fhíoruisce
snighe	sní
aca	acu
né	mé
iongnadh	ionadh
cuairteóirí	cuairteoirí
chasán	chosán
casán	cosán
tighthe	tithe
shiubhladh	shiúladh
aca	acu
Leasmuigh	Lasmuigh
dhe	de
casán	cosán
síor-ghluaiseacht	síorghluaiseacht
ionnas	ionas
i n-áirde	in airde
suidheacháin	suíocháin
casáin	cosáin
shuidheadh	shuíodh
ionnta	iontu
fothanáin	feochadáin
ós a gcionn	os a gcionn
báistigh	báisteach
casáin	cosáin
de'n	den
do sna	do na
i n-áirde	in airde
ortha	orthu
do réir	de réir
casán	cosán
an dtaobh	an taobh
casán	cosán
an dtaobh	an taobh
ó'n	ón
i n-áirde	in airde
bhreágh	bhreá
casáin	cosáin
ortha	orthu
leigtí	ligtí
i n-aon	in aon
i n-éinfheacht	in éineacht
id'	i do
caithfir	caithfidh tú
cod'	coda
agat-sa	agatsa
éinne	aon duine
slighe	slí
éinne	aon duine
dtéightheá	dtéiteá
amugha	amú
baoghal	baol
Ná bíonn	Nach mbíonn
gcomhnuidhe	gcónaí
do'n	don
ins gach	i ngach
d'á	dá
dtéigheadh	dtéadh
D'á	Dá
teangan	teanga
tiugh	tiubh
iongantais	iontais
orm-sa	ormsa
annso	anseo
ná bíonn	nach mbíonn
ist oidhche	istoíche
Ní	Níor
fheacais	fheac tú
re	le
thángais	tháinig tú
fheicfir	fheicfidh tú
n-imtheochair	n-imeoidh tú
so	seo
Nách	Nach
san	sin
Leasmuigh	Lasmuigh
de'n	den
san	sin
Leigeann	Ligeann
Mara	Mura
leigeann	ligeann
gcomhnuidhe	gcónaí
feiscint	feiceáil
ná feaca	nach bhfaca
muintear	muintir
árd-iongnadh	ardionadh
fhios	a fhios
aca	acu
ná fuiL	nach bhfuil
reann	rinn
san	sin
thairis	thar
leanamhaint	leanúint
ortha	orthu
chodluigheadh	chodlaíodh
tig	teach
chéadna	chéanna
oidhche	oíche
luaidh	luaigh
i n-aigne	in aigne
aca	acu
Bhfuil	bhFuil
liom-sa	liomsa
suidhte	suite
búird	boird
tarna	dara
