source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
Oidhche	Oíche
thar	thar
Oidhcheanta	Oícheanta
\n	\n
\n	\n
Ar	Ar
aghaidh	aghaidh
leis	leis
an	an
mbeirt	mbeirt
gharsún	gharsún
,	,
an	an
bogach	bogach
mealltach	mealltach
\n	\n
Ar	Ar
thaobh	thaobh
amhain	amháin
díobh	díobh
agus	agus
an	an
cnoc	cnoc
géar	géar
árd	ard
ar	ar
an dtaobh	an taobh
\n	\n
eile	eile
.	.
Brian	Brian
a	a
bhí	bhí
chun	chun
tosaigh	tosaigh
;	;
é	é
ag	ag
siubhal	siúl
go	go
\n	\n
haireach	haireach
,	,
bior	bior
ar	ar
a	a
dhá	dhá
shúil	shúil
agus	agus
é	é
ag	ag
gliúcaigheacht	gliúcaíocht
uaidh	uaidh
sa	sa
\n	\n
doircheacht	dorchacht
ar	ar
eagla	eagla
aon	aon
nidh	ní
tubaisteach	tubaisteach
a	a
bheith	bheith
chúcha	chucu
.	.
\n	\n
I	I
gceann	gceann
tamaill	tamaill
chuala	chuala
sé	sé
an	an
garbh-ghlór	garbh-ghlór
mar	mar
a	a
bheadh	bheadh
\n	\n
tonntracha	tonnta
ag	ag
briseadh	briseadh
ar	ar
charraigreacha	charraigeacha
cladaigh	cladaigh
.	.
DO	DO
\n	\n
stad	stad
sé	sé
agus	agus
do chuir	chuir
cluas	cluas
air	air
féin	féin
.	.
\n	\n
\n	\n
“	“
An	An
gcloiseann	gcloiseann
tú	tú
aon	aon
nidh	ní
?	?
”	”
ar	ar
seisean	seisean
le	le
Nící	Nící
.	.
\n	\n
\n	\n
Do	Do
bhánuigh	bhánaigh
ar	ar
Nící	Nící
.	.
\n	\n
\n	\n
“	“
Táimíd	Táimid
ag	ag
teacht	teacht
comhgarach	cóngarach
do'n	don
bhfairrge	bhfarraige
,	,
”	”
ar	ar
\n	\n
seisean	seisean
.	.
“	“
Tá	Tá
deire	deireadh
linn	linn
anois	anois
murab	murab
ionann	ionann
is	is
riam	riamh
.	.
”	”
\n	\n
\n	\n
“	“
Cad	Cad
'na	ina
thaobh	thaobh
?	?
”	”
\n	\n
\n	\n
“	“
Mar	Mar
is	is
sa	sa
bhfairrge	bhfarraige
a	a
bhíonn	bhíonn
na	na
Cráidhmí	Cráidhmí
.	.
”	”
\n	\n
\n	\n
“	“
Ach	Ach
conus	conas
a	a
fhéadann	fhéadann
siad	siad
maireachtaint	maireachtáil
sa	sa
\n	\n
bhfairrge	bhfarraige
?	?
”	”
\n	\n
\n	\n
“	“
Táid	Tá siad
dé-bheathach	débheathach
.	.
”	”
\n	\n
\n	\n
“	“
Conus	Conas
san	san
?	?
Ní	Ní
thuigim	thuigim
dé-bheathach	débheathach
.	.
”	”
\n	\n
\n	\n
“	“
Is	Is
comh-dheas	comhdheas
dóibh	dóibh
muir	muir
is	is
tír	tír
.	.
Is	Is
fé'n	faoin
bhfairrge	bhfarraige
\n	\n
a	a
mhairid	mhaireann siad
ach	ach
ní	ní
fhágann	fhágann
san	san
ná	ná
féadann	féadann
siad	siad
maireachtaint	maireachtáil
\n	\n
ar	ar
