source	target
Díoghaltas	Díoltas
ró-mhoch	rómhoch
amáireach	amárach
chughainn	chugainn
tseomra	seomra
bídh	bia
suidhte	suite
búird	boird
mbreicfeasta	mbricfeasta
gháiridhe	gháire
asta	astu
roimis	roimhe
dheineadar	rinneadar
fé ndeara	faoi deara
de'n	den
bhiadh	bhia
ós a chomhair	os a chomhair
bhreicfeast	bhricfeasta
rádh	rá
do'n	don
buadhartha	buartha
fé ndeara	faoi deara
fé'n	faoin
bhíodhg	bhíog
mhachtnamh	mhachnamh
do labhair	labhair
hárd	hard
is	agus
lúthgháir	lúcháir
chroidhe	chroí
ná beadh	nach mbeadh
foghanta	fónta
so	seo
chlos	chloisteáil
ó n-a	óna
níor dhein	ní dhearna
buidheach	buíoch
ní	níor
buidheachas	buíochas
Téighimís	Téimis
spaisteóireacht	spaisteoireacht
ins na	sna
scurtha	scortha
indiu	inniu
nách	nach
baoghal	baol
do'n	don
ort-sa	ortsa
bhuidheachas	bhuíochas
san	sin
poiblidhe	poiblí
ó's	ós
dhein	rinne
chreideamhaint	chreidiúint
gurab	gur
agá	ag a
éirighthe	éirithe
i gcoinnibh	i gcoinne
Tánn	Tá
ndroch-ghiúmar	ndrochghiúmar
indiu	inniu
nidh	ní
bímís	bímis
imtheacht	imeacht
so	seo
labhradh	labhraíodh
ó'n	ón
B'iongnadh	B'ionadh
canncar	cancar
a b'eadh	ab ea
fhuiriste	fhurasta
shiubhail	shiúil
roimis	roimhe
fé	faoi
malainn	mala
sáidhte	sáite
dheárna	dhearna
ó'n	ón
Suidhimís	Suímis
annso	anseo
ná fuil	nach bhfuil
claidhe	claí
shuidheadar	shuíodar
ortha	orthu
hiongnadh	hionadh
Níór	Níor
mhachtnaimh	mhachnaimh
iongnadh	ionadh
gcroidhe	gcroí
ortha	orthu
chodluighis	chodail tú
chodluigheas	chodail mé
néall	néal
hoidhche	hoíche
liúirighe	liúirí
sluagh	slua
bailighthe	bailithe
leasmuigh	lasmuigh
de'n	den
leigeadar	ligeadar
chodluigheas	chodlaíonn
nidh	ní
hoidhche	hoíche
leagas	leag mé
bpeiliúr	bpiliúr
thuit	thit
trúmpa	trumpa
deire	deireadh
chualais	chuala tú
Neosfad-sa	Inseoidh mise
san	sin
Chonnaic	Chonaic
sluagh	slua
timcheall	timpeall
tighe	tí
liúirigh	liúireach
Bhfuil	bhFuil
aca	acu
rádh	rá
ghníomha	ghnímh
dhein	rinne
indé	inné
Innis	Inis
rádh	rá
rádh	rá
t-eoluidhe	t-eolaí
ortha	orthu
im'	i mo
ortha	orthu
ráiméis	raiméis
de'n	den
tsórd	sórt
san	sin
siubhal	siúl
aca	acu
raghainn	rachainn
chúcha	chucu
adhb	fadhb
dubhrais	dúirt tú
Chuadhais	Chuaigh tú
chúcha	chucu
sul a	sula
ndeaghais	ndeachaigh tú
sheasais	sheas tú
árdán	ardán
an dtaobh	an taobh
de'n	den
bhfuinneóig	bhfuinneog
d'umhluighis	d'umhlaigh tú
bhuidheachais	bhuíochais
Bhíos	Bhí mé
aca	acu
liúirighe	liúirí
leigint	ligean
mí-chéadthach	míchéadfach
fheacaís	fhaca tú
ní	níor
chualaís	chuala tú
thuille	thuilleadh
Dubhart	Dúirt mé
chodluigheas	chodlaíonn
boghsíní	boghaisíní
Innis	Inis
chonnaicís	chonaic tú
ró-mhaith	rómhaith
chodluighim	chodlaím
o	ó
Bhíos	Bhí mé
leabaidh	leaba
néall	néal
liúirigh	liúireach
thuit	thit
ciúineas	ciúnas
ortha	orthu
dubhart	dúirt mé
imthighthe	imithe
Oidhche	Oíche
eadh	ea
shocruigheas	shocraigh mé
im' aigne	i m'aigne
raghainn	rachainn
siubhal	siúl
feachaint	féachaint
san	sin
D'éirigheas	D'éirigh mé
de'n	den
leabaidh	leaba
chuireas	chuireann
sluagh	slua
aca	acu
árduighthe	ardaithe
fé	faoi
anál	anáil
Annsan	Ansin
eadh	ea
thuigeas	thuigeann
aca	acu
rádh	rá
im' aigne	i m'aigne
díoghaltais	díoltais
ortha	orthu
cioca	cé acu
chorruigh	chorraigh
ós comhair	os comhair
chonnac	chonaic
sluagh	slua
asta	astu
ná beadh	nach mbeadh
ionnta	iontu
mhothuigheas	mhothaigh mé
ionnam	ionam
Fuaireas	Fuair mé
geas	gás
ar fuaid	ar fud
Chaitheas	Chaith mé
an dtalamh	an talamh
chuadhas	chuaigh mé
lamhancán	lámhacán
ionnam	ionam
leabaidh	leaba
thuiteas	thit mé
airigheas	airigh mé
thuille	thuilleadh
maidne	maidine
lóchtaint	láchan
fuinneóige	fuinneoige
dhúisigheas	dhúisigh mé
d'fhéachas	d'fhéach mé
daonnuidhe	daonnaí
ná raibh	nach raibh
taidhbhreamh	taibhreamh
tromluighe	tromluí
oidhche	oíche
chonnacas	chonaic mé
árd	ard
iongnadh	ionadh
corruighe	corraí
leasmuigh	lasmuigh
D'fhanas	D'fhan mé
annsan	ansin
d'oscluigheas	d'oscail mé
leasmuigh	lasmuigh
de'n	den
fheaca	fhaca
geallaim-se	geallaimse
dhaoibh	daoibh
nách	nach
ró-fhada	rófhada
fhanas	fhanann
do dhúnas	dhún mé
im'	i mo
ins gach	i ngach
tseomra	seomra
tigh	teach
dheinis-se	rinne tú
mbreicfeast	mbricfeasta
Ghaedhilg	Ghaeilge
ná fuil	nach bhfuil
Ghaedhilg	Ghaeilge
foghlumtha	foghlamtha
so	seo
bídh	bia
dighe	dí
mbreicfeast	mbricfeasta
ionnta	iontu
rádh	rá
libh-se	libhse
fhios	a fhios
uathbháis	uafáis
hoidhche	hoíche
iongnadh	ionadh
chéadna	chéanna
haindeiseóirí	hainniseoirí
i n-aon	in aon
chomh-cheilg	chomhcheilg
choinnibh	choinne
indiu	inniu
lán-deimhnightheach	lándeimhneach
Deineann	Déanann
díoghaltas	díoltas
mí-thrócaireach	míthrócaireach
éagcóir	éagóir
fearra	fearr
dhúinn	dúinn
rádh	rá
ná fuil	nach bhfuil
annso	anseo
Caithfimíd	Caithfimid
fhéadfaimís	fhéadfaimis
annso	anseo
cuirfí	chuirfí
Conus	Conas
Nách	Nach
ndubhart	ndúirt
sul a	sula
annso	anseo
mhínigheas	mhínigh mé
conus	conas
timcheall	timpeall
gurab	gurb
comhgaraighe	cóngaraí
do'n	don
so	seo
Tosnóchaidh	Tosóidh
ó n-a	óna
comhgarach	cóngarach
d'á	dá
thar n-ais	ar ais
eiteallán	eitleán
dá fhaid	dá fhad
fhanfaimíd	fhanfaimid
annso	anseo
eadh	ea
cruaidhe	crua
bhfágaimíd	bhfágaimid
fé	faoi
coicthidhis	coicís
déanaighe	déanaí
dhe	de
annso	anseo
mblian	mbliana
liom-sa	liomsa
annso	anseo
liom-sa	liomsa
Téighmís	Téimis
iarraimís	iarraimis
D'éirigheadar	D'éiríodar
thar n-ais	ar ais
chífidís	bhfeicfidís
chúcha	chucu
fé	faoi
siubhal	siúl
aca	acu
go dtáinig	gur tháinig
chúcha	chucu
bheannuigh	bheannaigh
dhóibh	dóibh
do dhein	rinne
breágh	breá
annso	anseo
Do chuir	Chuir
dhuit	duit
ad	i do
nidh	ní
hoidhche	hoíche
ortha	orthu
daoibh-se	daoibhse
thárla	tharla
Tá's	Tá a fhios
bhfeaca-sa	bhfaca-sa
im'	i mo
shúilibh	shúile
d'innis	d'inis
fé	faoi
innis	inis
do'n	don
aca	acu
deire	deireadh
ráidhte	ráite
beartuighthe	beartaithe
san	sin
i n-iúl	in iúl
