source	target
de'n	den
hobann	tobann
d'á	dá
chonnaic	chonaic
hárrachtaigh	harrachtaí
gcoilg-sheasamh	gcolgsheasamh
asta	astu
anál	anáil
tharraing	tharraingt
ortha	orthu
céadtha	céadta
aca	acu
i n-aon	in aon
árrachtaigh	arrachtaigh
acha	acu
fé	faoi
ortha	orthu
aca	acu
tapaidh	tapa
aca	acu
búirth	búir
i n-aigne	in aigne
tagaithe	tagtha
leagadh	leagan
táinig	tháinig
ná féadfaidís	nach bhféadfaidís
Annsan	Ansin
eadh	ea
timcheall	timpeall
ró-fhada	rófhada
dh'fhan	d'fhan
annsúd	ansiúd
ortha	orthu
Do chuir	Chuir
ins na	sna
cosaibh	cosa
ádhmharaighe	ámharaí
tsaoghail	tsaoil
ná raibh	nach raibh
ró-fhada	rófhada
fé	faoi
leabaidh	leaba
maidne	maidine
suidhte	suite
búird	boird
tseomra	seomra
bídh	bia
D'innis	D'inis
chroidhe	chroí
bhfuigheadh	bhfaigheadh
ó n-a	óna
istoidhche	istoíche
iongnadh	ionadh
ortha	orthu
hárrachtaigh	harrachtaí
eadh	ea
chomhacht	chumhacht
dhein	rinne
aca	acu
orm-sa	ormsa
Le n-a	Lena
céadna	céanna
aca	acu
bhánuigh	bhánaigh
t-eiteallán	t-eitleán
hárrachtaigh	harrachtaí
eiteallán	eitleán
sprúdar	spruadar
aca	acu
dhe	de
t-eiteallán	t-eitleán
aca	acu
choidhche	choíche
sean-ollamh	seanollamh
bhfeiscint	bhfeiceáil
fé n-a	faoina
Níor dhein	Ní dhearna
órdú	ordú
tighe	tí
suidhte	suite
mbórd	mbord
fé	faoi
bheannuigh	bheannaigh
dhóibh	dóibh
theangain	theanga
beannachtan	beannachta
Do mhol	Mhol
thapamhlacht	thapúlacht
foghlumtha	foghlamtha
aca	acu
d'fhiafruigh	d'fhiafraigh
fheiscint	fheiceáil
mhínigheadar	mhíníodar
t-eiteallán	t-eitleán
hoidhche	hoíche
Níor dhein	Ní dhearna
glaoidh	glaoigh
ghárda	gharda
órdú	ordú
gárda	garda
cúl-doras	cúldoras
tighe	tí
tighe	tí
ós comhair	os comhair
t-eiteallán	t-eitleán
ortha	orthu
chonnacadar	chonaiceadar
Conus	Conas
annso	anseo
d'infhiúch	d'iniúch
dhe	de
deineadh	déanamh
díoghbháil	díobháil
Leig	Lig
bárthan	bárthainn
bhuidhe	bhuí
dhúinn	dúinn
muintear	muintir
bhféadfaimís	bhféadfaimis
t-eiteallán	t-eitleán
uatha	uathu
ó'n	ón
árd	ard
fé	faoi
D'árduigh	D'ardaigh
dhóibh	dóibh
dhein	rinne
dhein	rinne
ró-mhaith	rómhaith
a'	an
siubhal	siúl
Dubhairt	Dúirt
theastuigheann	theastaíonn
uatha	uathu
Conus	Conas
thaithneochaidh	thaitneoidh
san	sin
mháighistir	mháistir
Teastuigheann	Teastaíonn
fheiscint	fheiceáil
Fiafruigh	Fiafraigh
do'n	don
comhnuidhe	cónaí
Do chuir	Chuir
ngárda	ngarda
do'n	don
an dtaobh	an taobh
de'n	den
comhnuidhe	cónaí
Téighimís	Téimis
i n-ainm	in ainm
threoruigh	threoraigh
gárda	garda
gcasán	gcosán
an dtaobh	an taobh
de'n	den
fé ndeara	faoi deara
fé ndeara	faoi deara
buidhe	buí
annso	anseo
croiceann	craiceann
buidhe	buí
aca	acu
taithneamh	taitneamh
ortha	orthu
choidhche	choíche
Ins na	Sna
teó	teo
taithneamh	taitneamh
ortha	orthu
ins na	sna
gaethe	gathanna
fiar-sceo	fiarsceabha
tigh	teach
eadh	ea
ionnta	iontu
gárdaí	gardaí
fé	faoi
leasmuigh	lasmuigh
dhe	de
éinne	aon duine
aca	acu
ortha	orthu
tré	trí
tÁrd	tArd
Mháighistir	Mháistir
shuidhe	shuí
bhuidhe	bhuí
Fé	Faoi
aCh	ach
mothal	mothall
órdlach	orlach
aoirde	airde
éinne	aon duine
aca	acu
breágh	breá
eadh	ea
maordha	maorga
glinneamhaint	glinniúint
éadaighe	éadaí
geal-daithte	gealdaite
maisighthe	maisithe
bheannuigh	bheannaigh
do sna	do na
cuairteóirí	cuairteoirí
síbhialta	sibhialta
dubhairt	dúirt
suidhe	suí
shuidheacháin	shuíocháin
i n-aice	in aice
Dheineadar	Rinneadar
dtimcheall	dtimpeall
Chonnacadar	Chonaiceadar
suidhe	suí
ar fuaid	ar fud
dírighthe	dírithe
ortha	orthu
sean-ollamh	seanollamh
léigheanta	léannta
dhem	de mo
mion-gháire	miongháire
Do labhair	Labhair
breágh	breá
thugadar-san	thugadarsan
slighe	slí
tríotha	tríothu
fé	faoi
ortha	orthu
labhradh	labhairt
sean-ollamh	seanollamh
phuinnte	phointe
ná féadfadh	nach bhféadfadh
do'n	don
peictiúir	pictiúir
de'n	den
ghréin	ghrian
de'n	den
D'infhiúch	D'iniúch
peictiúir	pictiúir
theasbáin	thaispeáin
do sna	do na
fearaibh	fir
Níor dhein	Ní dhearna
aca-san	acusan
strac-fhéachaint	sracfhéachaint
do dhein	rinne
thuille	thuilleadh
aca	acu
d'infhiúchadh	d'iniúchadh
Sé	Is é
dhein	rinne
magamhail	magúil
asta	astu
leir	léir
do sna	do na
do'n	don
dóighte	dóite
léigheacht	léacht
fé	faoi
do sna	do na
léighinn	léinn
OllscoiL	Ollscoil
sean-ollamh	seanollamh
alluis	allais
láimh	lámh
sean-duine	seanduine
do'n	don
cruadhas	cruas
de'n	den
san	sin
tÁrd	tArd
Mháighistir	Mháistir
scrupal	scrupall
luighead	laghad
droch-fhuadar	drochfhuadar
fútha	fúthu
le n-a	lena
mhothuigh	mhothaigh
méireanna	méara
chroidhe	chroí
anál	anáil
dteangain	dteanga
ad	i do
mhíneóchadh	mhíneodh
scéaL	scéal
do'n	don
chuideachtain	chuideachta
gur dhein	go ndearna
fé n-a	faoina
anál	anáil
ceistighthe	ceistithe
scrúduighthe	scrúduithe
d'iompuigh	d'iompaigh
Do labhair	Labhair
tláth	tláith
d'fhiafruigh	d'fhiafraigh
bhfeaca	bhfaca
timcheall	timpeall
fé	faoi
timcheall	timpeall
D'admhuigh	D'admhaigh
ná feaca	nach bhfaca
comhacht	cumhacht
theilgeadh	theilgean
éinne	aon duine
Dubhairt	Dúirt
comhachta	cumhachta
marar	murar
chomhacht	chumhacht
ná	nach
conus	conas
chomhacht	chumhacht
san	sin
an dtalamh	an talamh
D'fhiafruigh	D'fhiafraigh
teastuigh	tástáil
fé	faoi
dheire	dheireadh
chaoluigh	chaolaigh
fé	faoi
ana-dhul	an-dul
agaibh-se	agaibhse
buaidhte	buaite
ealadhain	ealaín
theastuigh	theastaigh
heolgaigh	heolach
leigheanta	léannta
tighe	tí
annso	anseo
bh'é	ba é
d'á	dá
sár-eolas	sáreolas
thar n-ais	ar ais
D'fheach	D'fhéach
san	sin
thaithn	thaitin
thaitn	thaitin
Do chuir	Chuir
deire	deireadh
san	sin
órdú	ordú
do'n	don
gárda	garda
Dhein	Rinne
gárda	garda
