source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
Na	Na
‘	‘
Cráidhmí	Cráidhmí
’	’
\n	\n
\n	\n
Catair	Cat tú
aoibhinn	aoibhinn
áluinn	álainn
ab	ab
eadh	ea
í	í
.	.
Bhí	Bhí
imeall	imeall
gach	gach
\n	\n
sráide	sráide
maisighthe	maisithe
Le	Le
bláthanna	bláthanna
agus	agus
le	le
tuir	tor
\n	\n
ioldathacha	ildathacha
agus	agus
bhí	bhí
srutháinín	srutháinín
caol	caol
d'fhíor-uisce	d'fhíoruisce
ag	ag
snighe	sní
\n	\n
go	go
crónánach	crónánach
i	i
lár	lár
gach	gach
sráide	sráide
aca	acu
.	.
\n	\n
\n	\n
Ach	Ach
ní	ní
né	mé
sin	sin
is	is
mó	mó
a	a
chuir	chuir
iongnadh	ionadh
ar	ar
na	na
cuairteóirí	cuairteoirí
,	,
\n	\n
ach	ach
an	an
dá	dá
chasán	chosán
a	a
bhí	bhí
ar	ar
imeall	imeall
gach	gach
sráide	sráide
.	.
Bhí	Bhí
casán	cosán
\n	\n
amháin	amháin
díobh	díobh
taobh	taobh
leis	leis
na	na
tighthe	tithe
,	,
agus	agus
is	is
air	air
sin	sin
a	a
shiubhladh	shiúladh
\n	\n
na	na
daoine	daoine
ná	ná
bíodh	bíodh
ach	ach
turas	turas
gairid	gairid
le	le
cur	cur
díobh	díobh
aca	acu
.	.
\n	\n
Leasmuigh	Lasmuigh
dhe	de
sin	sin
bhí	bhí
casán	cosán
eile	eile
agus	agus
é	é
ag	ag
síor-ghluaiseacht	síorghluaiseacht
\n	\n
fan	fan
an	an
talaimh	talaimh
,	,
ionnas	ionas
ná	ná
bíodh	bíodh
le	le
déanamh	déanamh
ag	ag
duine	duine
ach	ach
\n	\n
dul	dul
i n-áirde	in airde
air	air
agus	agus
b'sheo	b'sheo
ar	ar
aghaidh	aghaidh
leis	leis
.	.
Ní	Ní
raibh	raibh
bus	bus
\n	\n
ná	ná
rian-Charr	rian-Charr
ar	ar
na	na
sráideanna	sráideanna
,	,
ach	ach
bhí	bhí
suidheacháin	suíocháin
ar	ar
na	na
\n	\n
casáin	cosáin
agus	agus
shuidheadh	shuíodh
na	na
daoine	daoine
ionnta	iontu
,	,
agus	agus
do	do
\n	\n
hoscluightí	hoscluightí
fothanáin	feochadáin
ós a gcionn	os a gcionn
nuair	nuair
a	a
bhíodh	bhíodh
sé	sé
ag	ag
\n	\n
báistigh	báisteach
.	.
Stadadh	Stadadh
na	na
casáin	cosáin
de'n	den
ghluaiseacht	ghluaiseacht
ó	ó
am	am
go	go
\n	\n
ham	ham
chun	chun
caoi	caoi
a	a
thabhairt	thabhairt
do sna	do na
daoine	daoine
ar	ar
dhul	dhul
i n-áirde	in airde
\n	\n
ortha	orthu
nó	nó
teacht	teacht
anuas	anuas
díobh	díobh
do réir	de réir
mar	mar
ba	ba
mhian	mhian
leo	leo
.	.
\n	\n
Bhí	Bhí
an	an
casán	cosán
ar	ar
an dtaobh	an taobh
dheir	dheir
de	de
gach	gach
sráid	sráid
ag	ag
gluaiseacht	gluaiseacht
\n	\n
i	i
