source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
An	An
Tróid	Tróid
leis	leis
na	na
‘	‘
Cráidhmí	Cráidhmí
’	’
\n	\n
\n	\n
Bhí	Bhí
fhios	fhios
ag	ag
Brian	Brian
gur	gur
chun	chun
na	na
Cráidhmí	Cráidhmí
a	a
dhísciú	dhísciú
a	a
deineadh	rinneadh
\n	\n
an	an
róbot	róbot
,	,
ach	ach
d'imthigh	d'imigh
an	an
oidhche	oíche
sin	sin
agus	agus
dhá	dhá
oidhche	oíche
\n	\n
eile	eile
ina	ina
diaidh	diaidh
agus	agus
níor deineadh	ní dhearnadh
aon	aon
nidh	ní
.	.
Do bhris	Bhris
ar	ar
\n	\n
an	an
bhfoidhne	bhfoighne
aige	aige
sa	sa
deire	deireadh
agus	agus
chuir	chuir
sé	sé
ceist	ceist
ar	ar
Mháirtín	Mháirtín
.	.
\n	\n
\n	\n
“	“
Cad	Cad
chuige	chuige
an	an
righneas	righneas
so	seo
?	?
”	”
ar	ar
seisean	seisean
.	.
“	“
Cad	Cad
\n	\n
'na	ina
thaobh	thaobh
ná	ná
gluaiseann	gluaiseann
tú	tú
i gcoinnibh	i gcoinne
na	na
gCráidhmí	gCráidhmí
agus	agus
\n	\n
iad	iad
a	a
dhísciú	dhísciú
?	?
”	”
.	.
\n	\n
\n	\n
“	“
Caithfimíd	Caithfimid
fanacht	fanacht
go	go
dtí	dtí
go	go
dtiocfaidh	dtiocfaidh
siad	siad
i	i
dtír	dtír
,	,
”	”
\n	\n
arsa	arsa
Máirtín	Máirtín
.	.
“	“
Árrachtaigh	Arrachtaigh
dé-bheathach	débheathach
is	is
eadh	ea
iad	iad
,	,
agus	agus
\n	\n
is	is
comh-dheas	comhdheas
dóibh	dóibh
muir	muir
is	is
tír	tír
.	.
I n-íochtar	In íochtar
na	na
fairrge	farraige
is	is
\n	\n
mó	mó
a	a
bhíonn	bhíonn
siad	siad
,	,
áit	áit
inar	inar
deacair	deacair
dúinn	dúinn
teacht	teacht
ortha	orthu
agus	agus
\n	\n
iad	iad
a	a
throid	throid
.	.
Dh'á	Dá
bhrí	bhrí
sin	sin
is	is
fearra	fearr
dhúinn	dúinn
fanacht	fanacht
go	go
\n	\n
dtí	dtí
go	go
dtiocfaidh	dtiocfaidh
siad	siad
amach	amach
ar	ar
an dtalamh	an talamh
thirim	thirim
chughainn	chugainn
.	.
\n	\n
Bítear	Bítear
ag	ag
faire	faire
de	de
ló	lá
is	is
d'oidhche	d'oíche
agus	agus
chomh	chomh
luath	luath
agus	agus
a	a
\n	\n
chuirfidh	chuirfidh
ceann	ceann
aca	acu
cos	cos
i	i
dtír	dtír
beidh	beidh
“	“
Lugh	Lugh
Lámh-fhada	Lámhfhada
’	’
ar	ar
\n	\n
a	a
thóir	thóir
fé	faoi
mar	mar
a	a
bheadh	bheadh
cú	cú
i	i
ndiaidh	ndiaidh
girrfhéidh	girrfhéidh
.	.
”	”
\n	\n
\n	\n
“	“
An	An
leigfir	ligfidh tú
mise	mise
agus	agus
Nící	Nící
i n-éinfheacht	in éineacht
leat	leat
ann	ann
?	?
”	”
