source	target
deineadh	rinneadh
d'imthigh	d'imigh
oidhche	oíche
oidhche	oíche
níor deineadh	ní dhearnadh
nidh	ní
Do bhris	Bhris
bhfoidhne	bhfoighne
deire	deireadh
so	seo
'na	ina
i gcoinnibh	i gcoinne
Caithfimíd	Caithfimid
Árrachtaigh	Arrachtaigh
dé-bheathach	débheathach
eadh	ea
comh-dheas	comhdheas
I n-íochtar	In íochtar
fairrge	farraige
ortha	orthu
Dh'á	Dá
fearra	fearr
dhúinn	dúinn
an dtalamh	an talamh
chughainn	chugainn
ló	lá
d'oidhche	d'oíche
aca	acu
Lámh-fhada	Lámhfhada
fé	faoi
leigfir	ligfidh tú
i n-éinfheacht	in éineacht
Leigfead	Ligfidh mé
thoiligheann	thoilíonn
t'athair	d'athair
suidhte	suite
amáireach	amárach
chughainn	chugainn
bhánuigh	bhánaigh
'na	ina
seideadh	séideadh
chughainn	chugainn
ins na	sna
guirt	goirt
ins na	sna
leasmuigh	lasmuigh
de'n	den
san	sin
fearra	fearr
dhúinn	dúinn
an ndoras	an doras
nóimeat	nóiméad
bhfalla	mballa
siubhail	siúil
Do labhair	Labhair
dhaoibh	daoibh
chughainn	chugainn
Órduightear	Ordaítear
d'á	dá
gcoinnibh	gcoinne
Órduightear	Ordaítear
dtighthe	dtithe
gceadóchthar	gceadófar
ins na	sna
guirt	goirt
ins na	sna
leasmuigh	lasmuigh
de'n	den
órduightear	ordaítear
scurtha	scortha
éinne	aon duine
tapaidh	tapa
scurtha	scortha
deireannach	deireanach
de sna	de na
Órduightear	Ordaítear
d'á	dá
gcoinnibh	gcoinne
Órduightear	Ordaítear
dtighthe	dtithe
chontabhairt	chontúirt
Bímís	Bímis
imtheacht	imeacht
ortha	orthu
annsúd	ansiúd
rómpa	rompu
Bhfuil	bhFuil
nidh	ní
de sna	de na
fearaibh	fir
deigh-bhéasach	dea-bhéasach
má's	más
eadh	ea
nóimeat	nóiméad
siubhal	siúl
aca	acu
labhradh	labhairt
Chonnacadar	Chonaiceadar
sclábhuidhthe	sclábhaithe
d'fhearaibh	d'fhir
teicheadh	teitheadh
ghárda	gharda
de sna	de na
fearaibh	fir
do labhair	labhair
ceannasuidhe	ceannasaí
ortha	orthu
Do labhair	Labhair
guirt	goirt
Órduightear	Ordaítear
gcoinnibh	gcoinne
tapaidh	tapa
sul a	sula
searbhúsach	searbhasach
Órduigh	Ordaigh
gcoinnibh	gcoinne
tapaidh	tapa
gcosaibh	gcosa
Nách	Nach
breágh	breá
chúcha	chucu
aca	acu
i n-éinfheacht	in éineacht
guirt	goirt
de'n	den
