source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
Díoghaltas	Díoltas
\n	\n
\n	\n
Ní	Ní
go	go
ró-mhoch	rómhoch
a	a
éirigh	éirigh
Brian	Brian
ná	ná
Nící	Nící
ar	ar
maidin	maidin
amáireach	amárach
\n	\n
a	a
bhí	bhí
chughainn	chugainn
,	,
agus	agus
nuair	nuair
a	a
chuadar	chuadar
isteach	isteach
sa	sa
tseomra	seomra
\n	\n
bídh	bia
bhí	bhí
an	an
triúr	triúr
fear	fear
suidhte	suite
chun	chun
búird	boird
agus	agus
iad	iad
ag	ag
ithe	ithe
a	a
\n	\n
mbreicfeasta	mbricfeasta
.	.
Bhí	Bhí
Seán	Seán
agus	agus
Máirtín	Máirtín
go-haerach	go-haerach
,	,
geal	geal
-	-
\n	\n
gháiriteach	gháiriteach
;	;
gach	gach
aon	aon
scairt	scairt
gháiridhe	gháire
asta	astu
agus	agus
iad	iad
ag	ag
\n	\n
cur	cur
síos	síos
ar	ar
chúrsaí	chúrsaí
an	an
lae	lae
roimis	roimhe
sin	sin
agus	agus
ar	ar
an	an
dtroid	dtroid
\n	\n
éachtach	éachtach
a	a
dheineadar	rinneadar
leis	leis
na	na
Cráidhmí	Cráidhmí
,	,
ach	ach
ní	ní
raibh	raibh
focal	focal
as	as
\n	\n
an	an
réaltóir	réaltóir
,	,
agus	agus
do	do
tuigeadh	tuigeadh
do	do
Bhrian	Bhrian
go	go
raibh	raibh
duairceas	duairceas
\n	\n
éigin	éigin
air	air
.	.
Thug	Thug
sé	sé
fé ndeara	faoi deara
,	,
leis	leis
,	,
nár	nár
bhlais	bhlais
a	a
athair	athair
\n	\n
greim	greim
de'n	den
bhiadh	bhia
a	a
bhí	bhí
ós a chomhair	os a chomhair
,	,
agus	agus
nuair	nuair
a	a
chrom	chrom
sé	sé
\n	\n
féin	féin
ar	ar
a	a
bhreicfeast	bhricfeasta
a	a
ithe	ithe
d'oscail	d'oscail
sé	sé
a	a
bhéal	bhéal
chun	chun
labhartha	labhartha
\n	\n
leis	leis
,	,
ach	ach
do	do
dhún	dhún
sé	sé
arís	arís
é	é
gan	gan
aon	aon
fhocal	fhocal
a	a
rádh	rá
.	.
Ba	Ba
léir	léir
\n	\n
do'n	don
gharsún	gharsún
go	go
raibh	raibh
rud	rud
éigin	éigin
ag	ag
déanamh	déanamh
buadhartha	buartha
dhó	dhó
.	.
\n	\n
\n	\n
I	I
gceann	gceann
tamaill	tamaill
thug	thug
Seán	Seán
fé ndeara	faoi deara
an	an
duairceas	duairceas
\n	\n
a	a
bheith	bheith
ar	ar
an	an
bhfear	bhfear
eile	eile
.	.
\n	\n
\n	\n
“	“
Cad	Cad
é	é
an	an
ghruaim	ghruaim
seo	seo
ort	ort
?	?
”	”
ar	ar
seisean	seisean
leis	leis
.	.
\n	\n
“	“
Ba	Ba
dhóigh	dhóigh
le	le
duine	duine
ort	ort
go	go
bhfuil	bhfuil
gach	gach
ar	ar
bhain	bhain
riamh	riamh
leat	leat
\n	\n
fé'n	faoin
bhfód	bhfód
.	.
Ní	Ní
hamhlaidh	hamhlaidh
atá	atá
