source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
Oidhche	Oíche
sa	sa
Choill	Choill
\n	\n
\n	\n
Nuair	Nuair
a	a
bhí	bhí
an	an
bheirt	bheirt
gharsún	gharsún
ag	ag
fágaint	fágáil
an	an
phríosúin	phríosúin
\n	\n
cé	cé
casfaí	chasfaí
ortha	orthu
sa	sa
tsráid	tsráid
ach	ach
fear	fear
go	go
raibh	raibh
éide	éide
\n	\n
ghealdaithte	ghealdaite
uime	uime
agus	agus
caipín	caipín
biorach	biorach
ar	ar
a	a
cheann	cheann
.	.
\n	\n
\n	\n
“	“
An	An
bhfeiceann	bhfeiceann
tú	tú
an	an
fear	fear
so	seo
chughainn	chugainn
?	?
”	”
arsa	arsa
Nící	Nící
.	.
\n	\n
\n	\n
“	“
Chím	Fheicim
,	,
”	”
arsa	arsa
Brian	Brian
.	.
“	“
Is	Is
deas	deas
an	an
éide	éide
atá	atá
air	air
.	.
”	”
\n	\n
\n	\n
“	“
Sin	Sin
í	í
an	an
éide	éide
a	a
bhíonn	bhíonn
á	á
caitheamh	caitheamh
ag	ag
lucht	lucht
tighe	tí
na	na
\n	\n
haibhléise	haibhléise
.	.
Tá	Tá
aithne	aithne
mhaith	mhaith
agam	agam
ar	ar
an	an
bhfear	bhfear
so	seo
.	.
Is	Is
\n	\n
minic	minic
a	a
leigeann	ligeann
sé	sé
isteach	isteach
mé	mé
ag	ag
féachaint	féachaint
ar	ar
an	an
obair	obair
á	á
\n	\n
dhéanamh	dhéanamh
ann	ann
.	.
”	”
\n	\n
\n	\n
“	“
Ó	Ó
,	,
”	”
arsa	arsa
Brian	Brian
,	,
“	“
ba	ba
mhaith	mhaith
liom	liom
tigh	teach
na	na
haibhléise	haibhléise
a	a
\n	\n
fheiscint	fheiceáil
.	.
Ní	Ní
leigfeadh	ligfeadh
Látós	Látós
dúinn	dúinn
dul	dul
isteach	isteach
ann	ann
an	an
\n	\n
lá	lá
fé	faoi
dheire	dheireadh
.	.
”	”
\n	\n
\n	\n
“	“
Iarrfad	Iarrfaidh mé
air	air
seo	seo
leigint	ligean
do'n	don
bheirt	bheirt
againn	againn
dul	dul
\n	\n
isteach	isteach
ann	ann
anois	anois
.	.
”	”
\n	\n
\n	\n
Anonn	Anonn
leo	leo
chun	chun
an	an
fhir	fhir
agus	agus
do labhair	labhair
Nící	Nící
leis	leis
.	.
\n	\n
Do	Do
gháir	gháir
an	an
fear	fear
leis	leis
na	na
garsúin	garsúin
.	.
\n	\n
\n	\n
“	“
Is	Is
tusa	tusa
an	an
garsún	garsún
stróinséartha	strainséartha
a	a
tháinig	tháinig
annso	anseo
\n	\n
tamall	tamall
ó	ó
shoin	shin
,	,
”	”
ar	ar
seisean	seisean
le	le
Brian	Brian
.	.
\n	\n
\n	\n
“	“
Is	Is
mé	mé
,	,
”	”
arsa	arsa
Brian	Brian
.	.
\n	\n
\n	\n
“	“
Ba	Ba
mhaith	mhaith
leis	leis
tigh	teach
na	na
haibhléise	haibhléise
a	a
fheiscint	fheiceáil
,	,
”	”
arsa	arsa
an	an
\n	\n
garsún	garsún
eile	eile
