source	target
tsúil-fhéachaint	tsúilfhéachaint
timcheall	timpeall
chomhrainn	chónra
mhóir	mhór
áird	aird
bhfalla	mballa
hoscladh	hosclaíodh
Do chuir	Chuir
comhrann	comhroinn
ortha	orthu
aca	acu
B'é	Ba é
chonnacadar	chonaiceadar
éalódh	éalú
intlidheacht	intleacht
dhein	rinne
Ách	Ach
cad-é	cad é
domh-sa	domsa
beartuighthe	beartaithe
conus	conas
san	sin
annso	anseo
Deirir	Deir tú
fé	faoi
thángaís	tháinig tú
thánag	tháinig mé
suic	soic
Deineann	Déanann
suic	soic
dheineann	dhéanann
do'n	don
tré	trí
cnuic	cnoic
fé'n	faoin
an fhaid	an fad
ragadh	rachadh
Raghadh	Rachadh
carraigreacha	carraigeacha
chruadha	chrua
tslighe	tslí
roimis	roimhe
ná beadh	nach mbeadh
innte	inti
ím	im
dheineann	dhéanann
shlighe	shlí
roimis	roimhe
Súghann	Súnn
tré sna	trí na
dheineann	dhéanann
tslighe	tslí
ná beadh	nach mbeadh
éinne	aon duine
ghaibh	ghabh
san	sin
éirimeamhail	éirimiúil
domh-sa	domsa
do'n	don
so	seo
díoghbhála	díobhála
so	seo
théigheann	théann
troighthe	troithe
fé	faoi
so	seo
san	sin
slighe	slí
rádh	rá
Tiocfaimíd	Tiocfaimid
oireamhnaighe	oiriúnaí
dhuit	duit
chífear	fheicfear
so	seo
éirghe	éirí
an dtalamh	an talamh
d'fhearaibh	d'fhir
léimt	léim
baoghal	baol
éinne	aon duine
id'	i do
choinnibh	choinne
hÁrd-Chomhairle	hArdchomhairle
Árd-Chomhairle	Ardchomhairle
go	gur
sul a	sula
aca	acu
Déanfair	Déanfaidh tú
id'	i do
Árd	Ard
Mháighistir	Mháistir
ráis	rása
san	sin
éirgheann	éiríonn
ód'	ó do
dhom	dom
an dtaobh	an taobh
de'n	den
dheineann	dhéanann
so	seo
adeir	a deir
de'n	den
annso	anseo
Teasbáin	Taispeáin
oireamhnaighe	oiriúnaí
dhúinn	dúinn
raghad-sa	rachaidh mise
dhuit	duit
mbeimíd	mbeimid
