source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
An	An
Priosún	Príosún
\n	\n
\n	\n
Thug	Thug
an	an
t-oifigeach	t-oifigeach
órdú	ordú
d'á	dá
chuid	chuid
fear	fear
agus	agus
do	do
\n	\n
chromadar	chromadar
ar	ar
mháirseáil	mháirseáil
isteach	isteach
sa	sa
tigh	teach
.	.
Chuala	Chuala
an	an
\n	\n
triúr	triúr
istigh	istigh
na	na
coiscéimeanna	coiscéimeanna
tomhaiste	tomhaiste
ag	ag
druideamhaint	druidim
\n	\n
leo	leo
agus	agus
do	do
bhánuigh	bhánaigh
ortha	orthu
.	.
\n	\n
\n	\n
Leis	Leis
sin	sin
do	do
hoscladh	hosclaíodh
doras	doras
an	an
halla	halla
agus	agus
tháinig	tháinig
\n	\n
an	an
sean-ollamh	seanollamh
isteach	isteach
.	.
Bhí	Bhí
féachaint	féachaint
ana-ghruamdha	ana-ghruamdha
ar	ar
a	a
\n	\n
ghnúis	ghnúis
.	.
\n	\n
\n	\n
“	“
Daor-bhreith	Daorbhreith
,	,
gan	gan
aon	aon
agó	agó
,	,
”	”
arsa	arsa
Seán	Seán
.	.
\n	\n
\n	\n
Do labhair	Labhair
Ámón	Ámón
leo	leo
agus	agus
do labhair	labhair
go	go
mí-shásta	míshásta
agus	agus
\n	\n
go	go
díombáidheach	díomách
.	.
\n	\n
\n	\n
“	“
Is	Is
oth	oth
liom	liom
a	a
rádh	rá
,	,
a	a
cháirde	chairde
,	,
”	”
ar	ar
seisean	seisean
,	,
“	“
ná fuil	nach bhfuil
\n	\n
an	an
tÁrd-Mháighistir	tÁrd-Mháighistir
sásta	sásta
ar	ar
fad	fad
leis	leis
na	na
cúntaisí	cuntais
a	a
\n	\n
thug	thug
sibh	sibh
uaibh	uaibh
o	ó
chianaibh	chianaibh
.	.
Ní	Ní
fonn	fonn
leis	leis
cead	cead
a	a
bheith	bheith
agaibh	agaibh
\n	\n
chun	chun
dul	dul
saor	saor
ar fuaid	ar fud
na	na
cathrach	cathrach
feasta	feasta
.	.
”	”
\n	\n
\n	\n
“	“
An	An
amhlaidh	amhlaidh
atáthar	atáthar
chun	chun
sinn	sinn
a	a
chur	chur
i	i
bpríosún	bpríosún
?	?
”	”
\n	\n
arsa	arsa
Seán	Seán
.	.
\n	\n
\n	\n
“	“
Is	Is
mian	mian
leis	leis
an	an
Árd-Mháighistir	Árd-Mháighistir
sibh	sibh
a	a
choimeád	choimeád
fé	faoi
\n	\n
ghlas	ghlas
go	go
dtí	dtí
go	go
bhfuighidh	bhfaighidh
sé	sé
a	a
thuille	thuilleadh
eolais	eolais
inbhúr	inbhúr
dtaobh	dtaobh
.	.
”	”
\n	\n
\n	\n
“	“
An	An
fada	fada
a	a
coimeádfar	coimeádfar
fé	faoi
ghlas	ghlas
sinn	sinn
?	?
”	”
arsa	arsa
\n	\n
Máirtín	Máirtín
.	.
\n	\n
\n	\n
Ní	Níor
thug	thug
Ámón	Ámón
aon	aon
fhreagra	fhreagra
ar	ar
an	an
gceist	gceist
sin	sin
.	.
Níor dhein	Ní dhearna
\n	\n
sé	sé
