source	target
Priosún	Príosún
órdú	ordú
d'á	dá
tigh	teach
druideamhaint	druidim
bhánuigh	bhánaigh
ortha	orthu
hoscladh	hosclaíodh
sean-ollamh	seanollamh
Daor-bhreith	Daorbhreith
Do labhair	Labhair
do labhair	labhair
mí-shásta	míshásta
díombáidheach	díomách
rádh	rá
cháirde	chairde
ná fuil	nach bhfuil
cúntaisí	cuntais
o	ó
ar fuaid	ar fud
fé	faoi
bhfuighidh	bhfaighidh
thuille	thuilleadh
fé	faoi
Ní	Níor
Níor dhein	Ní dhearna
'na	ina
bhuadhairt	bhuairt
aca	acu
Do chuir	Chuir
hughdarásach	húdarásach
id'	i do
theangain	theanga
rádh	rá
dteangain	dteanga
rádh	rá
ná fuil	nach bhfuil
d'á	dá
nách	nach
Siubhlaidh	Siúlaigí
do chuir	a chuir
roimis	roimhe
Fan-se	Fansa
so	seo
ná fuil	nach bhfuil
i n-éinfheacht	in éineacht
liom-sa	liomsa
Tabharfad	Tabharfaidh mé
leigfead	ligfidh mé
d'imtheochadh	d'imeodh
fé	faoi
baoghal	baol
inghine	iníne
dhom	dom
eadh	ea
n-aontigheas	n-aontíos
bhuadhairt	bhuairt
orm-sa	ormsa
Bead	Beidh mé
i nÉirinn	in Éirinn
baoghalach	baolach
bhúr	bhur
dh'fháil	d'fháil
ortha	orthu
so	seo
leig	lig
dhéanfaimís	dhéanfaimis
do'n	don
dhóibh	dóibh
chroidhe	chroí
de sna	de na
Do leag	Leag
fhalla	bhalla
an dtalamh	an talamh
fé	faoi
táimíd	táimid
fé	faoi
Do leag	Leag
bhfalla	mballa
hoscladh	hosclaíodh
shuidheachán	shuíochán
bhfallaí	mballaí
fhuinneóga	fhuinneoga
leigint	ligean
ráil	ráillí
bhfallaí	mballaí
timcheall	timpeall
uaithe	uaithi
d'infhiúch	d'iniúch
feiscint	feiceáil
feiscint	feiceáil
de'n	den
bhfalla	mballa
i n-aon	in aon
cuileóg	cuileog
éalódh	éalú
annso	anseo
an dtaobh	an taobh
d'oscluigheadar	d'osclaíodar
leabaidh	leaba
ins gach	i ngach
dhíobh	díobh
nighe	ní
ámhthach	áfach
tigh	teach
i nÉirinn	in Éirinn
ná fuil	nach bhfuil
compórdach	compordach
sé	is é
féadfaimíd	féadfaimid
éalódh	éalú
foidhne	foighne
de sna	de na
suidheacháin	suíocháin
mho	mo
machtnamh	machnamh
ortha	orthu
droch-ionntaoibh	drochiontaoibh
comhacht	cumhacht
uilc	oilc
shiubhail	shiúil
machtnamh	machnamh
deineadh	rinneadh
scaramhaint	scaradh
ó'n	ón
ná fuil	nach bhfuil
annsan	ansin
deintí	dhéantaí
Do bhris	Bhris
fuar-allus	fuarallas
bhaitheas	bhaithis
ndeintí	ndéantaí
tsean-aimsir	tseanaimsir
d'fhiachaibh	d'fhiacha
ortha	orthu
Chonnaic	Chonaic
ós comhair	os comhair
luighe	luí
faon-lag	faonlag
stathadh	stoitheadh
teannchair	teanchair
chluais	chluas
dhe	de
ós cionn	os cionn
teine	tine
chroidhe	chroí
buadhairt	buairt
himshníomh	himní
shamhluigh	shamhlaigh
san	sin
innsint	insint
chluig	chloig
hoscladh	hosclaíodh
liúgh	liú
chonnaic	chonaic
do chuir	chuir
roimis	roimhe
ionmhuin	ionúin
chughainn	chugainn
so	seo
thángais	tháinig tú
headh	hea
bídh	bia
chughaibh	chugaibh
mara	mura
misde	miste
Le n-a	Lena
de sna	de na
bídh	bia
n-iomchar	n-iompar
aca	acu
ad'	i do
bhuaidhreadh	bhuaireamh
bhaoghal	bhaol
san	sin
de'n	den
bhiadh	bhia
ithte	ite
aca	acu
do rug	a rug
d'imthigheadar	d'imíodar
leigfear	ligfear
de'n	den
do chaith	chaith
de sna	de na
suidheacháin	suíocháin
eagal	eagla
orm-sa	ormsa
tabharfaí	thabharfaí
dhúinn	dúinn
n-admhóchaimís	n-admhóimis
comh-cheilge	comhcheilge
gcoinnibh	gcoinne
do bhain	bhain
ó'n	ón
do thuit	thit
chúcha	chucu
uatha	uathu
san	sin
i n-árd	in ard
hoscladh	hosclaíodh
chúcha	chucu
croidhe	croí
chonnaic	chonaic
h-anamamhail	hanamúil
i n-éinfheacht	in éineacht
nách	nach
thimcheall	thimpeall
nidh	ní
cheapais	cheap tú
tapaidh	tapa
rabhais	raibh tú
shoin	shin
Bhíos	Bhí mé
caithte	caite
ad	i do
shlighe	shlí
so	seo
nidh	ní
chuimhnigheamar	chuimhníomar
nidh	ní
droch-mhisneach	drochmhisneach
Déanfaimíd	Déanfaimid
bheárnain	bhearna
dhuit	duit
t'aigne	d'aigne
annso	anseo
Imthighidh	Imígí
gharsúna	gharsúin
imtheacht	imeacht
mbeir	mbeidh tú
so	seo
Seadh	Sea
imthighthe	imithe
nidh	ní
Árd-Chomhairle	Ardchomhairle
aca	acu
annso	anseo
thuille	thuilleadh
ámhthach	áfach
misde	miste
rádh	rá
gurab	gurb
innsint	insint
ceaduighthe	ceadaithe
dhom	dom
innsint	insint
díbh	daoibh
sean-duine	seanduine
Ac	Ach
déarfad	déarfaidh mé
ó'n	ón
bhúr	bhur
innsint	insint
Mara	Mura
n-éirgheann	n-éiríonn
luighe	luí
nác	nach
cuirpthigh	coirpigh
bhúr	bhur
gcoinnibh	gcoinne
ortha	orthu
