source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
Manannán	Manannán
\n	\n
\n	\n
“	“
Táimíd	Táimid
ann	ann
,	,
”	”
arsa	arsa
an	an
réaltóir	réaltóir
,	,
agus	agus
do	do
leig	lig
sé	sé
\n	\n
osna	osna
cléibh	cléibh
.	.
\n	\n
\n	\n
“	“
Is	Is
fearra	fearr
dhúinn	dúinn
na	na
cealltair	cealtair
gheasa	gheasa
a	a
chur	chur
orainn	orainn
\n	\n
sul a	sula
bhfágaimíd	bhfágaimid
an	an
cábán	cábán
,	,
”	”
arsa	arsa
Máirtín	Máirtín
,	,
“	“
ar	ar
eagla	eagla
aon	aon
\n	\n
nidh	ní
a	a
bheith	bheith
san	san
aer	aer
ná beadh	nach mbeadh
oireamhnach	oiriúnach
dúinn	dúinn
.	.
”	”
\n	\n
\n	\n
“	“
Raghad	Rachaidh mé
sa	sa
tseans	tseans
leis	leis
,	,
”	”
arsa	arsa
an	an
réaltóir	réaltóir
agus	agus
do	do
\n	\n
thúirling	thuirling
sé	sé
de'n	den
eiteallán	eitleán
.	.
\n	\n
\n	\n
Ní	Ní
túisce	túisce
ar	ar
an dtalamh	an talamh
é	é
ná	ná
tharraing	tharraing
sé	sé
anál	anáil
fhada	fhada
.	.
\n	\n
\n	\n
“	“
Níl	Níl
aon	aon
locht	locht
ar	ar
aer	aer
na	na
háite	háite
,	,
pé	pé
scéal	scéal
é	é
,	,
”	”
ar	ar
\n	\n
seisean	seisean
.	.
\n	\n
\n	\n
Táinig	Tháinig
an	an
bheirt	bheirt
eile	eile
anuas	anuas
go	go
mall	mall
,	,
mar	mar
bhíodar	bhíodar
\n	\n
crapuithe	craptha
tar	tar
éis	éis
an	an
aga	aga
a	a
bhí	bhí
caithte	caite
aca	acu
i	i
gcábán	gcábán
an	an
\n	\n
eitealláin	eitleáin
.	.
Thug	Thug
Brian	Brian
léim	léim
as	as
a	a
chabhail	chabhail
chun	chun
teacht	teacht
anuas	anuas
,	,
\n	\n
ach	ach
i n-ionad	in ionad
léimt	léim
anuas	anuas
ar	ar
an	an
mbán	mbán
is	is
amhlaidh	amhlaidh
a	a
ghluais	ghluais
\n	\n
sé	sé
fan	fan
na	na
talmhan	talún
chom	chom
héadtrom	héadrom
seolta	seolta
le	le
héinín	héinín
ag	ag
\n	\n
eitilt	eitilt
.	.
Chuir	Chuir
sé	sé
liúgh	liú
as	as
le	le
hiongnadh	hionadh
agus	agus
le	le
háthas	háthas
.	.
\n	\n
\n	\n
“	“
Féach	Féach
orm	orm
,	,
a	a
dhaid	dhaid
,	,
”	”
ar	ar
seisean	seisean
.	.
“	“
Táim	Táim
ag	ag
eitilt	eitilt
.	.
”	”
\n	\n
\n	\n
Leis	Leis
sin	sin
tháinig	tháinig
sé	sé
anuas	anuas
go	go
héadtrom	héadrom
ar	ar
an	an
bpáirc	bpáirc
\n	\n
tamall	tamall
beag	beag
ó'n	ón
eiteallán	eitleán
.	.
Bhí	Bhí
an	an
triúr	triúr
eile	eile
ag	ag
gáiridhe	gáire
.	.
\n	\n
\n	\n
“	“
Ní	Ní
hag	ag
