source	target
Oidhche	Oíche
Oidhcheanta	Oícheanta
amhain	amháin
árd	ard
an dtaobh	an taobh
siubhal	siúl
gliúcaigheacht	gliúcaíocht
doircheacht	dorchacht
nidh	ní
chúcha	chucu
tonntracha	tonnta
charraigreacha	charraigeacha
do chuir	chuir
nidh	ní
bhánuigh	bhánaigh
Táimíd	Táimid
comhgarach	cóngarach
do'n	don
bhfairrge	bhfarraige
deire	deireadh
riam	riamh
'na	ina
bhfairrge	bhfarraige
conus	conas
maireachtaint	maireachtáil
bhfairrge	bhfarraige
Táid	Tá siad
dé-bheathach	débheathach
Conus	Conas
dé-bheathach	débheathach
comh-dheas	comhdheas
fé'n	faoin
bhfairrge	bhfarraige
mhairid	mhaireann siad
maireachtaint	maireachtáil
an dtalamh	an talamh
Táid	Tá siad
dúthaigh	dúiche
aca	acu
Thá	Tá
thorthamhail	thorthúil
leasmuigh	lasmuigh
de'n	den
tighthe	tithe
guirt	goirt
tighthe	tithe
ins na	sna
teicheadh	teitheadh
uatha	uathu
Annsan	Ansin
eadh	ea
deineadh	rinneadh
ortha	orthu
ná fuil	nach bhfuil
chómhnuidhe	chónaí
dtuaith	dtuath
Dhein	Rinne
puill	poill
ar dtúis	ar dtús
uatha	uathu
chuaidh	chuaigh
ndánuidheacht	ndánacht
éinne	aon duine
leasmuigh	lasmuigh
ná	nach
saothruightear	saothraítear
i n-aon	in aon
Téigheann	Téann
ó'n	ón
buidhean	buíon
d'fhearaibh	d'fhir
ghárda	gharda
ortha	orthu
cuirid	cuireann siad
ins na	sna
guirt	goirt
Foghmhar	Fómhar
dúthaigh	dúiche
sar	sula
ná beidh	nach mbeidh
screatal	screatall
bídh	bia
bheithidheach	bheithíoch
ná beidh	nach mbeidh
de'n	den
mara	mura
ndeintear	ndéantar
Ná féadfadh	Nach bhféadfadh
mharbhú	mharú
ortha	orthu
cruaidhe	crua
tsaghas	saghas
fé sna	faoi na
tslighe	tslí
nách	nach
ortha	orthu
annsan	ansin
chosaibh	chosa
rómpa	rompu
gcoinnibh	gcoinne
dhéanfaimíd	dhéanfaimid
fearra	fearr
dhúinn	dúinn
i n-aice	in aice
fairrge	farraige
bhfuighimís	bhfaighimis
an dtráigh	an trá
shean-athair	sheanathair
rádh	rá
dtéightí	dtéití
bhfairrge	bhfarraige
ionnta	iontu
leigeann	ligeann
d'éinne	d'aon duine
comhgarach	cóngarach
do'n	don
bhfairrge	bhfarraige
ionntaoibh	iontaoibh
Téighimís	Téimis
fairrge	farraige
bhfeicimíd	bhfeicimid
dubhairt	dúirt
thuille	thuilleadh
chomáin	thiomáin
árd	ard
eadh	ea
chonnacadar	chonaiceadar
fhairrge	fharraige
leath-chéad	leathchéad
uatha	uathu
cadh	cabha
aca	acu
bhfastódh	bhfostú
ins na	sna
carraigreacha	carraigeacha
annsan	ansin
i n-éadan	in éadan
faille	haille
siubhail	siúil
Téighimís	Téimis
an dtráigh	an trá
bhféadfaimís	bhféadfaimis
leigint	ligean
bhaoghal	bhaol
fhairrge	fharraige
choimhthigheach	choimhthíoch
uatha	uathu
ghear	ghéar
árd	ard
h-aire	haire
dhó	dó
slighe	slí
sceinn	scinn
i n-éadan	in éadan
faille	haille
do bhuail	bhuail
i gcoinnibh	i gcoinne
aighthe	aghaidhe
ó'n	ón
i nÉirinn	in Éirinn
ngortóchthaí	ngortófaí
éadtruime	éadroime
níor dhein	ní dhearna
tuitim	titim
trágha	trá
thuit	thit
carraigreacha	carraigeacha
thuitfeadh	thitfeadh
ró-dhócha	ródhócha
stracuithe	sractha
loirgne	lorgaí
tuitim	titim
ós a chionn	os a chionn
i n-áirde	in airde
glaodhach	glaoch
san	sin
gleoidh	gleo
rádh	rá
labair	lab tú
do labhair	labhair
i n-árd	in ard
do theip	theip
rádh	rá
liúgh	liúigh
gortuighthe	gortaithe
i n-aon	in aon
me	mé
shiubhail	shiúil
an dtráigh	an trá
chonnaic	chonaic
croidhe	croí
treasna	trasna
Chonnaic	Chonaic
ná raibh	nach raibh
tslighe	slí
nóimeat	nóiméad
bhfeicead	bhfeicfeadh
i n-aon	in aon
Níor dhein	Ní dhearna
éirghe	éirí
bhaoth-léim	bhaothléim
an dtráigh	an trá
Dheinis	Rinne tú
dhéanfair	dhéanfaidh tú
mara	mura
slighe	slí
i n-áirde	in airde
so	seo
shiubhail	shiúil
trágha	trá
