source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
An	An
tInneall	tInneall
\n	\n
\n	\n
Aon	Aon
tsúil-fhéachaint	tsúilfhéachaint
amháin	amháin
a	a
thug	thug
na	na
garsúin	garsúin
timcheall	timpeall
\n	\n
an	an
tseomra	tseomra
agus	agus
ar	ar
chrapadh	chrapadh
na	na
súl	súl
bhíodar	bhíodar
de	de
léim	léim
\n	\n
laistiar	laistiar
de	de
chomhrainn	chónra
mhóir	mhór
áird	aird
a	a
bhí	bhí
taobh	taobh
leis	leis
an	an
bhfalla	mballa
.	.
\n	\n
Ar	Ar
éigean	éigean
a	a
bhíodar	bhíodar
i	i
bhfolach	bhfolach
nuair	nuair
do	do
hoscladh	hosclaíodh
comhla	comhla
\n	\n
ar	ar
thaobh	thaobh
an	an
innill	innill
agus	agus
tháinig	tháinig
beirt	beirt
fhear	fhear
amach	amach
as	as
.	.
Do chuir	Chuir
\n	\n
Nící	Nící
a	a
cheann	cheann
go	go
haireach	haireach
thar	thar
taobh	taobh
na	na
comhrann	comhroinn
amach	amach
\n	\n
agus	agus
d'fhéach	d'fhéach
ortha	orthu
.	.
D'aithin	D'aithin
sé	sé
duine	duine
aca	acu
láithreach	láithreach
.	.
B'é	Ba é
\n	\n
duine	duine
é	é
ná	ná
Grágó	Grágó
,	,
an	an
fear	fear
a	a
chonnacadar	chonaiceadar
ag	ag
éalódh	éalú
tríd	tríd
\n	\n
an	an
gcoill	gcoill
ó	ó
chianaibh	chianaibh
.	.
Ní	Ní
raibh	raibh
aon	aon
aithne	aithne
aige	aige
ar	ar
an	an
bhfear	bhfear
\n	\n
eile	eile
.	.
\n	\n
\n	\n
“	“
Is	Is
mór	mór
an	an
intlidheacht	intleacht
é	é
,	,
”	”
arsa	arsa
Grágó	Grágó
,	,
“	“
agus	agus
\n	\n
molaim	molaim
an	an
té	té
a	a
dhein	rinne
é	é
.	.
Ách	Ach
ní	ní
thuigim	thuigim
fós	fós
cad-é	cad é
an	an
tairbhe	tairbhe
\n	\n
a	a
fhéadfadh	fhéadfadh
sé	sé
a	a
dhéanamh	dhéanamh
domh-sa	domsa
nó	nó
cad	cad
é	é
an	an
chabhair	chabhair
a	a
\n	\n
thabharfadh	thabharfadh
an	an
t-inneall	t-inneall
san	san
dom	dom
chun	chun
an	an
rud	rud
atá	atá
beartuighthe	beartaithe
\n	\n
agam	agam
a	a
thabhairt	thabhairt
chun	chun
críche	críche
.	.
”	”
\n	\n
\n	\n
“	“
Tá	Tá
fhios	fhios
agat	agat
conus	conas
a	a
tugadh	tugadh
an	an
t-inneall	t-inneall
san	sin
\n	\n
annso	anseo
,	,
”	”
arsa	arsa
an	an
fear	fear
eile	eile
.	.
\n	\n
\n	\n
“	“
Deirir	Deir tú
liom	liom
gur	gur
fé	faoi
thalamh	thalamh
a	a
thángaís	tháinig tú
.	.
”	”
\n	\n
\n	\n
“	“
Is	Is
mar	mar
sin	sin
a	a
thánag	tháinig mé
.	.
Féach	Féach
na	na
suic	soic
sin	sin
ar	ar
thosach	thosach
\n	\n
an	an
innill	innill
.	.
Deineann	Déanann
na	na
