source	target
ndeire	ndeireadh
timcheall	timpeall
san	sin
aer-phort	aerfort
eitealláin	eitleáin
phetrol	pheitreal
nidh	ní
i n-órdú	in ordú
i n-eagar	in eagar
éachtaigh	éachtach
roimis	roimhe
tuitim	titim
hoidhche	hoíche
réilthíní	réiltíní
gealaighe	gealaí
ós cionn	os cionn
n-eiteallán	n-eitleán
breágh	breá
t-eiteallán	t-eitleán
taoi	tá tú
id'	i do
raghair	rachaidh tú
do'n	don
raghaidh	rachaidh
id'	i do
do'n	don
raghaimís	rachaimis
annso	anseo
iongantais	iontais
de'n	den
eiteallán	eitleán
bhreágh	bhreá
neamh-choitchianta	neamhchoitianta
so	seo
aca	acu
rádh	rá
thuille	thuilleadh
aca	acu
rádh	rá
t'aghaidh	d'aghaidh
púnt	punt
agam-sa	agamsa
do'n	don
raghair	rachaidh tú
gáiridhe	gáire
san	sin
leigfidh	ligfidh
an dtaobh	an taobh
de'n	den
eiteallán	eitleán
leigfidh	ligfidh
do'n	don
lic	leac
oighre	oighir
éadaighe	éadaí
tiugha	tiubha
bídh	bia
dighe	dí
sheasóchaidh	sheasfaidh
nidh	ní
mearthaill	mearbhaill
nidh	ní
nidh	ní
luighead	laghad
petrol	peitreal
annso	anseo
choinneochadh	choinneodh
chluig	chloig
iongantais	iontais
slighe	slí
bheit	bheith
ins na	sna
d'á	á
de'n	den
bhiadh	bhia
dhigh	dheoch
leath-lae	leathlae
aca	acu
báidh	bá
aca	acu
so	seo
teipithe	teipthe
ortha	orthu
de sna	de na
aca	acu
t-eiteallán	t-eitleán
bhiadh	bhia
dhigh	dheoch
slighe	slí
ins na	sna
bhéarfadh	thabharfadh
so	seo
Lonndan	Londan
raghaidh	rachaidh
slighe	slí
i n-aghaidh	in aghaidh
D'fhéineas	D'fhéin mé
d'infhiúchadh	d'iniúchadh
de'n	den
tsaghas	saghas
nuadhacht	nuacht
ionnta	iontu
slighe	slí
i n-aghaidh	in aghaidh
iongantais	iontais
orm-sa	ormsa
eiteallán	eitleán
san	sin
Raghaidh	Rachaidh
tapaidh	tapa
fé	faoi
dhein	rinne
Cuirfead-sa	Cuirfidh mise
do'n	don
Conus	Conas
raghadh	rachadh
do'n	don
slighe	slí
eiteallán	eitleán
ortha	orthu
aca	acu
éinne	aon duine
aca	acu
t-eiteallán	t-eitleán
de sna	de na
aca	acu
sul a	sula
n-imtheochadh	n-imeodh
leig	lig
d'á	dá
go dtáinig	gur tháinig
aca	acu
t-eiteallán	t-eitleán
dhuit	duit
deigh-bhéasach	dea-bhéasach
D'infhiúch	D'iniúch
bídh	bia
nidh	ní
san	sin
de'n	den
i n-am	in am
do chaith	chaith
ó'n	ón
baoghal	baol
duit-se	duitse
magamhail	magúil
Thugais	Thug tú
mhothóchaimíd	mhothóimid
eitealláin	eitleáin
teodhacht	teocht
bhfuilimíd	bhfuilimid
Bhfuil	bhFuil
nidh	ní
i n-órdú	in ordú
agaibh-se	agaibhse
Bídhidh	Bí
id'	i do
cúntais	cuntais
de'n	den
Déanfad	Déanfaidh mé
san	sin
go n-éirighidh	go n-éirí
aca	acu
eitealláin	eitleáin
daingnigheadh	daingníodh
siubhail	siúil
t-eiteallán	t-eitleán
talmhan	talún
héadtrom	héadrom
fáinleóig	fáinleog
Tosnú	Tosú
bheimíd	bheimid
ós cionn	os cionn
talmhan	talún
scaoilfead	scaoilfidh mé
do dhein	a rinne
Ní	Níor
dhein	rinne
ná féadfaí	nach bhféadfaí
nidh	ní
mhothuigheadar	mhothaíodar
fé'n	faoin
eiteallán	eitleán
sceinnfeadh	scinnfeadh
splannc	splanc
tinntrighe	tintrí
tarna	dara
tríomhadh	tríú
fé'n	faoin
eiteallán	eitleán
ó'n	ón
an ndomhan	an domhan
so	seo
nidh	ní
saoghalta	saolta
scuir	scoir
annsan	ansin
teine	tine
aca	acu
uirthe	uirthi
tiugh	tiubh
bhfuinneóig	bhfuinneog
mhothuigheadar	mhothaíodar
fútha	fúthu
san	sin
aca	acu
imtheacht	imeacht
chughat	chugat
chughat	chugat
an ndomhan	an domhan
conus	conas
thiocfaimíd	thiocfaimid
thar n-ais	ar ais
Feach	Féach
chuiris	chuir tú
ná fuil	nach bhfuil
ó'n	ón
beartuighthe	beartaithe
ró-mhór	rómhór
ionntaoibh	iontaoibh
ionntaoibh	iontaoibh
éirgheann	éiríonn
gcéadna	chéanna
mearthaill	mearbhaill
domh-sa	domsa
ins na	sna
do réir	de réir
gcomáint	dtiomáint
mbainfimíd	mbainfimid
fiafruighim	fiafraím
dhíot	díot
chomáinfidh	thiomáinfidh
thar n-ais	ar ais
Comáinfidh	Tiomáinfidh
thar n-ais	ar ais
fé	faoi
gcomáint	dtiomáint
conus	conas
chomáinfidh	thiomáinfidh
atáimíd	atáimid
bheimíd	bheimid
nách	nach
bheimíd	bheimid
headh	hea
Conus	Conas
dheineann	dhéanann
timcheall	timpeall
an dtaobh	an taobh
D'á	Dá
fé	faoi
go ngeobhaidh	go bhfaighidh
bheimíd	bheimid
direach	díreach
shocruigh	shocraigh
compórdach	compordach
eitealláin	eitleáin
easba	easpa
annso	anseo
nidh	ní
nidh	ní
bheimíd	bheimid
teanntuighthe	teanntaithe
chumhang	chúng
so	seo
éinní	aon ní
feiscint	feiceáil
go n-a	gona
teine	tine
Do tharraing	Tharraing
annso	anseo
teipithe	teipthe
réidhteach	réiteach
machtnamh	machnamh
ortha	orthu
éinní	aon ní
bheit	bheith
machtnamh	machnamh
ortha	orthu
siadh	siad
réidhtighthe	réitithe
sul a	sula
mbainfimíd	mbainfimid
do tharraing	tharraing
Thugas-sa	Thug mise
d'fhéadfaimís	d'fhéadfaimis
Do chuir	Chuir
ghraidhn	ghraidhin
nidh	ní
nidh	ní
buadhartha	buartha
dhomh-sa	domsa
nidh	ní
ná tuigfeadh	nach dtuigfeadh
sibh-se	sibhse
D'fhágas	D'fhág mé
fhágaint	fhágáil
fágaint	fágáil
tighe	tí
so	seo
innseas	inis mé
cé'n	cén
do thárla	a tharla
t-iongantas	t-iontas
chorruighe	chorraí
úrlár	urlár
d'á	dá
shuidheachán	shuíochán
ins na	sna
i leath-taoibh	i leataobh
leath-mhúchta	leathmhúchta
annso	anseo
leigfeá	ligfeá
dhom	dom
go	gur
tslighe	slí
ins na	sna
ró-dhéanach	ródhéanach
Thá	Tá
ró-dhéanach	ródhéanach
do chuir	chuir
gháiridhe	gháire
thar n-ais	ar ais
do bhuail	bhuail
raghfá	rachfá
i gan fhios	i ngan fhios
Bhfuil	bhFuil
teanntuighthe	teanntaithe
so	seo
mí-shásta	míshásta
báistighe	báistí
Tánn	Tá
i n-áit	in áit
cumhainge	cúinge
Conus	Conas
thaithneochaidh	thaitneoidh
Thugas	Thugann
thugas	thug mé
peictiúirí	pictiúir
thugas	thug mé
fithchille	fichille
gháiridhe	gháire
asta	astu
mh'anam	m'anam
dhuit	duit
foidhne	foighne
nidh	ní
bídh	bia
Bhfuil	bhFuil
conus	conas
eólas	eolas
annso	anseo
múinfead	múinfidh mé
laetheanta	laethanta
rádh	rá
aimsear	aimsir
oidhche	oíche
uathmhar	uafar
san	sin
eiteallán	eitleán
ná beadh	nach mbeadh
deire	deireadh
n-a	a
fé ndeara	faoi deara
háruistí	hárais
búird	boird
corruighe	corraí
háruistí	hárais
corruighe	corraí
Sé	Is é
Táimíd	Táimid
tagaithe	tagtha
i n-ar	inar
chomhacht	chumhacht
tharraing	tharraingt
fuinneóige	fuinneoige
díombáidheach	díomách
feiscint	feiceáil
Táimíd	Táimid
timcheall	timpeall
gabhtha	gafa
Dob	Ab
neartuigh	neartaigh
gcomhacht	gcumhacht
dtarraing	dtarraingt
neartuigh	neartaigh
leasmuigh	lasmuigh
de'n	den
eiteallán	eitleán
amhascarnaigh	amhscarthanach
maidne	maidine
Táimíd	Táimid
siubhail	siúil
Dhein	Rinne
uatha	uathu
dúthaigh	dúiche
go n-a	gona
bántaibh	bánta
go n-a	gona
léimt	léim
fanaidh	fána
nách	nach
Feachaidh	Fiacha
bhfuighimíd	bhfaighimid
oireamhnach	oiriúnach
túirlinge	duirlinge
annsan	ansin
D'féach	D'fhéach
chonnaic	chonaic
glioscarnaigh	glioscarnach
tsolas	solas
ar fuaid	ar fud
annso	anseo
annso	anseo
áluinn	álainn
aca	acu
annso	anseo
annsúd	ansiúd
de'n	den
d'fhéadfaimís	d'fhéadfaimis
túirling	tuirlingt
duadh	dua
