source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
An	An
Radharc	Radharc
tríd	tríd
an	an
gCiandracán	gCiandracán
\n	\n
\n	\n
Ní	Ní
raibh	raibh
de	de
sholas	sholas
i	i
dtigh	dtigh
na	na
gciandracán	gciandracán
ach	ach
léas	léas
\n	\n
beag	beag
lag	lag
a	a
bhí	bhí
ag	ag
teacht	teacht
isteach	isteach
tré	trí
oscailt	oscailt
a	a
bhí	bhí
i	i
\n	\n
ndíon	ndíon
an	an
tighe	tí
.	.
\n	\n
\n	\n
“	“
Tá	Tá
an	an
áit	áit
seo	seo
chomh	chomh
dorcha	dorcha
le	le
tigh	tigh
peictiúirí	pictiúir
,	,
”	”
arsa	arsa
\n	\n
Seán	Seán
Ó	Ó
Maolchatha	Maolchatha
,	,
agus	agus
do chuir	chuir
sé	sé
gáire	gáire
as	as
.	.
\n	\n
\n	\n
“	“
Dá	Dá
dhoircheacht	dhorchacht
a	a
bhíonn	bhíonn
an	an
áit	áit
istigh	istigh
is	is
eadh	ea
is	is
fearr	fearr
a	a
\n	\n
chíonn	fheiceann
tú	tú
na	na
réalta	réalta
,	,
”	”
arsa	arsa
an	an
fear	fear
eile	eile
.	.
Leis	Leis
sin	sin
do thóg	thóg
\n	\n
sé	sé
tóirse	tóirse
aibhléise	aibhléise
as	as
a	a
phóca	phóca
agus	agus
do	do
scéidh	sceith
an	an
solas	solas
\n	\n
timcheall	timpeall
an	an
tseomra	tseomra
i	i
dtreo	dtreo
is	is
go	go
raibh	raibh
radharc	radharc
ag	ag
an	an
\n	\n
mbeirt	mbeirt
eile	eile
ar	ar
a	a
raibh	raibh
ann	ann
.	.
\n	\n
\n	\n
Seomra	Seomra
cruinn	cruinn
a	a
bhí	bhí
ann	ann
,	,
agus	agus
díon	díon
adhmaid	adhmaid
air	air
.	.
\n	\n
Bhí	Bhí
an	an
dá	dá
chiandracán	chiandracán
i	i
lár	lár
an	an
úrláir	urláir
agus	agus
taca	taca
teann	teann
fé	faoi
\n	\n
gach	gach
ceann	ceann
aca	acu
.	.
Bhí	Bhí
oscailt	oscailt
ar	ar
dhíon	dhíon
an	an
tighe	tí
chun	chun
go	go
mbeadh	mbeadh
\n	\n
radharc	radharc
ag	ag
an nduine	an duine
istigh	istigh
ar	ar
an	an
spéir	spéir
amuigh	amuigh
.	.
D'fhéach	D'fhéach
\n	\n
Seán	Seán
suas	suas
agus	agus
chonnaic	chonaic
sé	sé
na	na
réilthíní	réiltíní
ag	ag
spréacharnaigh	spréacharnach
ós a chionn	os a chionn
\n	\n
i n-áirde	in airde
.	.
Is	Is
minic	minic
a	a
bhí	bhí
Máirtín	Máirtín
Mac	Mac
Con	Con
Midhe	Midhe
\n	\n
sa	sa
tseomra	tseomra
san	sin
cheana	cheana
,	,
agus	agus
níor dhein	ní dhearna
sé	sé
aon	aon
iongnadh	ionadh
\n	\n
d'aon	d'aon
nidh	ní
ann	ann
,	,
ach	ach
b'ait	b'ait
le	le
Seán	Seán
mar	mar
áit	áit
é	é
.	.
Do	Do
mhínigh	mhínigh
an	an
\n	\n
réaltóir	réaltóir
