source	target
___MANANPH_00001___	___MANANPH_00001___
\n	\n
\n	\n
#	#
Pláinéid	Pláinéid
ná Feaca	nach bhFaca
Súil	Súil
Duine	Duine
Riamh	Riamh
\n	\n
\n	\n
Do chaith	A chaith
Seán	Seán
Ó	Ó
Maolchatha	Maolchatha
é	é
féin	féin
siar	siar
sa	sa
chathaoir	chathaoir
\n	\n
agus	agus
do chuir	chuir
gáire	gáire
as	as
.	.
\n	\n
“	“
Mar	Mar
mhagadh	mhagadh
taoi	tá tú
,	,
”	”
as	as
seisean	seisean
.	.
\n	\n
\n	\n
D'éirigh	D'éirigh
an	an
fear	fear
eile	eile
agus	agus
do	do
shiubhail	shiúil
anonn	anonn
chun	chun
na	na
\n	\n
teine	tine
.	.
Do	Do
dhearg	dhearg
sé	sé
a	a
phíopa	phíopa
agus	agus
do bhain	bhain
seach	seach
as	as
sul ar	sular
\n	\n
labhair	labhair
sé	sé
.	.
\n	\n
\n	\n
“	“
Ní	Ní
haon	haon
mhagadh	mhagadh
é	é
,	,
”	”
ar	ar
seisean	seisean
,	,
“	“
ach	ach
lom-lár	lom-lár
na	na
\n	\n
fírinne	fírinne
.	.
”	”
\n	\n
\n	\n
D'éirigh	D'éirigh
an	an
tríomhadh	tríú
fear	fear
,	,
do	do
sheas	sheas
taobh	taobh
leis	leis
ag	ag
an dteine	an tine
\n	\n
agus	agus
d'fhéach	d'fhéach
idir	idir
an	an
dá	dá
shúil	shúil
air	air
.	.
\n	\n
\n	\n
“	“
Réaltóir	Réaltóir
tusa	tusa
,	,
”	”
ar	ar
seisean	seisean
leis	leis
.	.
“	“
Tá	Tá
níos	níos
mó	mó
\n	\n
eolais	eolais
agat-sa	agatsa
ar	ar
na	na
réalta	réalta
agus	agus
ar	ar
na	na
pláinéidí	pláinéidí
ná	ná
\n	\n
mar	mar
atá	atá
ag	ag
aon	aon
fhear	fhear
eile	eile
beo	beo
.	.
An	An
é	é
adeir	a deir
tú	tú
linn	linn
go	go
\n	\n
bhfuil	bhfuil
an	an
phláinéid	phláinéid
seo	seo
ann	ann
,	,
agus	agus
gur	gur
giorra	giorra
dhúinn	dúinn
í	í
ná	ná
\n	\n
aon	aon
phláinéid	phláinéid
eile	eile
,	,
ach	ach
mar	mar
sin	sin
féin	féin
nách	nach
féidir	féidir
dúinn	dúinn
í	í
\n	\n
fheiscint	fheiceáil
?	?
”	”
\n	\n
\n	\n
“	“
Is	Is
mar	mar
sin	sin
atá	atá
,	,
”	”
arsa	arsa
an	an
réaltóir	réaltóir
.	.
\n	\n
\n	\n
“	“
Má's	Más
fíor	fíor
bréag	bréag
,	,
”	”
arsa	arsa
Seán	Seán
Ó	Ó
Maolchatha	Maolchatha
,	,
ach	ach
is	is
\n	\n
\n	\n
___MANANPH_00002___	___MANANPH_00002___
\n	\n
fé n-a	faoina
anáil	anáil
adubhairt	dúirt
sé	sé
é	é
,	,
agus	agus
ní chuala	níor chuala
an	an
bheirt	bheirt
eile	eile
é	é
.	.
\n	\n
Ba	Ba
dhóig	dhóigh
le	le
duine	duine
,	,
ámhthach	áfach
,	,
gur	gur
thuig	thuig
an	an
